question,answer,chapter,explanation
気候が温暖になり、農耕と牧畜が始まったことで、人類は狩猟と採集にのみ依存する生活から脱した。,◯,第1章　古代文明の出現,テキストにある通り、氷期が終わり気候が温暖になると、人類は狩猟・採集から農耕・牧畜という新しい生活形態を獲得した。
余剰生産物の蓄積が可能になったが、社会組織や分業が生まれるまでには至らなかった。,×,第1章　古代文明の出現,間違った文章である。余剰生産物の蓄積が可能になったことは、分業や社会組織を生み出すことにつながった。
古代文明は、大河流域だけでなく高原地域においても、農耕を軸として発達することがあった。,◯,第1章　古代文明の出現,テキストには、農耕を軸とした社会が「世界各地の大河流域、あるいは高原地域で発達していく」と記述されている。
本章で扱うメソポタミア文明は、ナイル川の流域において成立した文明である。,×,第1章　古代文明の出現,間違った文章である。メソポタミア文明は、ティグリス川とユーフラテス川の流域に生じた文明である。
エーゲ文明は、メソポタミア文明の強い影響を受けて成立した文明として紹介されている。,×,第1章　古代文明の出現,間違った文章である。テキストでは、エーゲ文明は「エジプト文明の影響を受けた」と記されている。
古代における人類の生活形態は農耕がすべてであり、遊牧などの形態をとる社会は存在しなかった。,×,第1章　古代文明の出現,間違った文章である。農耕を軸としない、遊牧などの生活形態をとった社会も存在したことが明記されている。
約1万年前に氷期が終わって温暖化が進むと、人々は平地の小屋を離れ、より安全な山地の洞窟へと移り住んだ。,×,第1章　古代文明の出現,間違った文章である。石斧の発明などにより森林の伐採が容易になったため、人々は山地の洞窟を離れて、平地に小屋を建てて住むようになった。
食料獲得経済から食料生産経済への飛躍は、食料生産革命（新石器革命）ともよばれる。,◯,第1章　古代文明の出現,テキストにある通り、狩猟・採集・漁撈から家畜飼育や農耕へ転換したことは、食料生産段階への飛躍であり、食料生産革命とよばれる。
西アジアにおける農耕は、約1万年前にメソポタミア南部からナイル川流域にかけての地域で、稲の栽培から始まった。,×,第1章　古代文明の出現,間違った文章である。西アジアでは約1万年前に、メソポタミア北部からアナトリア高原にかけての地域で「麦」の栽培が開始された。
東アジアでは、黄河流域で約9000年前に稲が、長江流域で約8000年前にアワとキビが栽培されるようになった。,×,第1章　古代文明の出現,間違った文章である。正しくは、黄河流域で約8000年前にアワ・キビが、長江流域で約9000年前に稲が栽培されるようになった。
西アジアで始まった麦栽培や牧畜は、約7000年前ごろにヨーロッパへ伝播した。,◯,第1章　古代文明の出現,テキストの記述通り、西アジアの麦栽培や牧畜は、7000年前ごろにヨーロッパに伝播した。
日本列島で本格的な農耕が始まったのは前5世紀ごろと比較的遅いが、これは食料資源が乏しく農耕を開始する体力がなかったためとされる。,×,第1章　古代文明の出現,間違った文章である。農耕の開始が遅かったのは、農耕に頼らなくても（狩猟・採集などで）十分な食料を得られていたことを示唆している。
遊牧民は広大なステップで定住地をもちながら、家畜を小規模に移動させて生活し、農耕地域との接触を避けて自給自足を行った。,×,第1章　古代文明の出現,間違った文章である。遊牧民は遠距離移動のため「定住地をもたない」。また、近隣の農耕地域と密接な経済関係をもち、遠距離交易にも従事した。
東南アジアで開発されたバナナ、ヤムイモ、タロイモ、サトウキビの栽培技術は、オーストラリアにも広く伝播した。,×,第1章　古代文明の出現,間違った文章である。これらの農業技術は、オーストラリアには伝播していないと考えられている。
都市における文字の発明は、主に神意をうかがう祭祀や、財政・会計事務などの必要性から発達した。,◯,第1章　古代文明の出現,祭祀や財政・会計事務の記録のために文字が発達し、人類にとって大きな発明となった。
「前4千年紀」とは、紀元前3000年から紀元前2001年までの1000年間を指す。,×,第1章　古代文明の出現,間違った文章である。前4千年紀とは、紀元前4000年から紀元前3001年までの1000年間を指す。
青銅器は、当初から容器や装身具としてのみ使われ、武器として用いられることはなかった。,×,第1章　古代文明の出現,間違った文章である。当初は斧や刀剣として、やがて容器や装身具としても用いられるようになった。
文字記録が存在する時代を歴史時代とし、それ以前を先史時代として区分するのが歴史学の伝統である。,◯,第1章　古代文明の出現,歴史学では伝統的に文字記録の有無で時代を区分するが、現在は文字以外の資料を用いた再構築も求められている。
アメリカ大陸では、ユーラシア大陸から伝わった麦や稲の栽培技術をもとに、独自の農耕文化が発展した。,×,第1章　古代文明の出現,間違った文章である。アメリカ大陸は農耕成立以前にユーラシアから切り離されており、トウモロコシやジャガイモなどの独自の農耕文化が生まれた。
トマト、ジャガイモ、トウガラシなどは、アメリカ大陸で栽培化され、古アメリカ文明の基礎となった。,◯,第1章　古代文明の出現,これらはアメリカ大陸で独自に栽培化された作物であり、古アメリカ文明の基盤となった。
アフリカ大陸や南北アメリカ大陸は、ユーラシア大陸よりも地形の制約が少なく、農耕の伝播が容易であった。,×,第1章　古代文明の出現,間違った文章である。ユーラシア大陸は、アフリカや南北アメリカ大陸よりも地形の制約が少なく、農耕の伝播が比較的容易であった。
東アジアでは、丸みをおびたジャポニカ種と、籾が長く粘り気が弱いインディカ種の両方が主に栽培された。,×,第1章　古代文明の出現,間違った文章である。東アジアで多く栽培されたのはジャポニカ種であり、インディカ種はインド東部のガンジス川デルタ地帯などで栽培された。
オリエントの地理的特徴として、中心地域には肥沃な大河流域があり、南と西には巨大な山岳地帯が広がっている。,×,第1章　古代文明の出現,間違った文章である。山岳地帯があるのは「東と北」であり、南と西には巨大な砂漠地帯が広がっている。
メソポタミアは周囲を砂漠と海に囲まれた閉鎖的な地形で、外部勢力の侵入を受けにくい環境であった。,×,第1章　古代文明の出現,間違った文章である。外部からの侵入を受けにくく閉鎖的だったのは「エジプト」であり、メソポタミアは移住や侵入に対して開かれた地域であった。
エーゲ海沿岸は地中海性気候で平地が狭いため、穀物生産よりもオリーヴやブドウの栽培、羊の牧畜に適している。,◯,第1章　古代文明の出現,石灰岩質のやせた土壌であるため、穀物よりも果樹栽培や牧畜が盛んであり、不足する穀物は海上交通で補っていた。
シュメール人によって形成された都市国家では、中心部に守護神をまつる神殿があり、王が宗教的な祭儀を担っていた。,◯,第1章　古代文明の出現,ウルやウルクなどの都市国家では、神殿を中心に王が祭儀を行い、階級分化の進んだ社会が築かれていた。
