question,answer,chapter,explanation
約200万年前から１万年前の更新世（洪積世）で，４回の氷期と３回の間氷期が繰り返された時代を何というか。,氷河時代,第1章,更新世は氷河時代とも呼ばれ、氷期と間氷期が繰り返されました。
現生人類を新人というが，静岡県浜松市で発見された新人段階の人骨を何というか。,浜北人骨,第1章,本州で発見された貴重な新人段階の人骨化石です。
現生人類を新人というが，沖縄県八重瀬町で発見された新人段階の人骨を何というか。,湊川人骨,第1章,ほぼ完全な骨格で発見された、日本を代表する新人骨です。
更新世の頃，石器を道具として使用し，おもに採取・狩猟を行っていた時代を何というか。,旧石器時代,第1章,打製石器を使い、移動しながら狩猟・採集を行う時代です。
1946年に相沢忠洋が石器を発見し，後の学術調査で日本における３の文化の存在を初めて証明した群馬県の関東ローム層の遺跡は何か。,岩宿遺跡,第1章,関東ローム層から石器を発見。日本の旧石器時代の存在を証明しました。
更新世から完新世にいたる頃に始まった，食料採取を主としつつも，土器や磨製石器を使うようになった文化を何というか。,縄文文化,第1章,温暖化による環境変化に対応し、土器や磨製石器を使い始めた文化です。
縄文時代を草創期～晩期の６期に区分する指標となる，表面に縄目文様が施された厚手で黒褐色の土器を何というか。,縄文土器,第1章,厚手で黒褐色、低温で焼かれたのが特徴。煮炊きを可能にしました。
狩猟に用いられた弓矢の，矢の先端につけられた打製石器を何というか。,石鏃,第1章,弓矢の先端につける石器。素早い中小動物を射止めるための道具です。
銛や釣針に使用した，動物の骨・牙・角などで作られた道具は何か。,骨角器,第1章,魚を捕るための銛（もり）や釣針として発達しました。
地面を掘り，掘立柱に草葺の屋根をかけた住居を何というか。,竪穴住居,第1章,半地下式の構造で、中央に炉があるのが一般的です。
集合住居と考えられる大型の住居や大型の掘立柱建物の遺構が発見された，青森市の縄文時代中期の大規模集落遺跡は何か。,三内丸山遺跡,第1章,青森県にある日本最大級の縄文集落跡。大型の掘立柱建物跡などが発見されました。
縄文時代晩期に水稲耕作が行われていたことを示す遺跡で，佐賀県唐津市にある遺跡はそれぞれ何か。,菜畑遺跡,第1章,佐賀県にある遺跡。縄文晩期の水田跡が発見され、稲作の起源を考える上で重要です。
縄文時代の人びとが捨てた貝殻などの堆積した場所で，生活廃棄物や通常残りにくい人骨･獣骨等が発見される遺跡を何というか。,貝塚,第1章,食べた貝やゴミを捨てた場所。当時の生活を知る貴重な史料です。
1877年にアメリカ人モースが発掘した13の遺跡を何というか。,大森貝塚,第1章,エドワード・モースが発見した、日本で最初に学術調査が行われた貝塚です。
長野県和田峠などで多く産出し，石器の材料としてよく用いられたために，広く交易の対象となった火山岩は何か。,黒曜石,第1章,和田峠（長野）などが産地の火山岩。鋭い利器の材料として広域で重宝されました。
大阪と奈良の二上山などに分布し，香川県白峰山・金山などに多産するため讃岐石とも呼ばれる，石器の材料となった安山岩は何か。,サヌカイト,第1章,二上山（奈良・大阪）などが産地の安山岩。石器の材料として近畿中心に流通しました。
新潟県糸魚川市の姫川流域を特産とする，勾玉などの装身具に加工された半透明緑色の石は何か。,ヒスイ/硬玉,第1章,新潟県姫川流域の特産。緑色の美しい石で、硬玉とも呼ばれます。
あらゆる自然物や自然現象に霊威を認め，それを恐れ崇めた信仰を何というか。,アニミズム/精霊崇拝,第1章,自然界のあらゆるものに霊魂が宿ると考える、当時の人々の精神的な信仰です。
成人の通過儀礼と考えられる，犬歯や門歯を抜き取る風習は何か。,抜歯,第1章,成人儀礼や婚姻の印として、健康な歯を抜き取る風習。縄文時代に広く見られました。
死者の手足を強く折り曲げて葬った埋葬の形式を何というか。,屈葬,第1章,死者の霊が動き回るのを防ぐ、または埋葬の労力を省くために手足を折り曲げて埋葬する形式です。
更新世の頃，大陸から日本に渡った大型動物には，マンモスやヘラジカ，オオツノジカの他，何がいたか。,ナウマンゾウ/トウヨウゾウ,第1章,更新世に大陸から渡来した大型動物。野尻湖底遺跡などで石器と共に発見されています。
棒の先端につけて刺突具として用いたり，切る・削る作業で加工具として用いたりしたと考えられる，片刃の打製石器を何というか。,ナイフ形石器,第1章,石の破片を加工して作られた、獲物の解体や皮はぎに用いられた旧石器時代の代表的な石器です。
漁労に使用するために丸木を火で焼き，内部をくりぬいた舟は何か。,丸木舟,第1章,樹木をくり抜いて作られた舟。縄文人が海を越えて広域に交易を行っていた証拠となります。
縄文土器が出土した千葉市にある日本最大の貝塚は何か。,加曽利貝塚,第1章,千葉県にある、日本最大級の面積を誇る貝塚。縄文時代の食生活を知る重要な遺跡です。
武器の一種や生殖器崇拝の表れとも考えられる棒状の石器は何か。,石棒,第1章,男性の象徴を模したとされる石製品。縄文時代の祭祀や呪術に用いられました。
つまみ状の突起がある，動物の解体などに用いた打製石器は何か。,石匙,第1章,獲物の皮をはぐために使われた、つまみ状の突起を持つ石器です。
木の実などをすり潰すために，すり石と併せて使われた石器は何か。,石皿,第1章,堅果類（ドングリなど）をすりつぶすために使われた、平らな石の道具です。
神秘的なものの力を借りて，厄災を避けることや豊かな収穫を得ることなどの現象を起こそうとする行為を何というか。,呪術,第1章,超自然的な力に働きかけて、豊かな収穫や病気の治癒を祈る行為や儀式のことです。
遺跡などの年代を特定するために日本でよく使われる年代測定法を２つ答えよ。,年輪年代法/炭素14年代法,第1章,遺跡の年代を科学的に測定する手法。これにより歴史の年代がより正確に判明しました。
水稲耕作や金属器の使用などが特徴的な，紀元前４世紀～紀元後３世紀中頃まで栄えた文化を何というか。,弥生文化,第1章,紀元前4世紀頃から始まり、水稲耕作、金属器の使用、弥生土器を特徴とする文化です。
表面が赤褐色で，薄くて硬いという特徴をもつ弥生土器の中で，食物を盛るためにつくられた脚付きの土器を何というか。,高杯/高坏,第1章,弥生土器のうち、食べ物を盛り付けるための脚がついた器です。
弥生土器は貯蔵用の壺のほか，煮沸用として何が多く作られたか。,甕,第1章,弥生土器のうち、煮炊きに用いられた深い容器です。
祭器・宝器として用いられた青銅器のうち，近畿地方に多く分布し，表面に農耕の場面などが描かれた日本独特の釣鐘形の青銅器は何か。,銅鐸,第1章,つりがねの形をした青銅器。近畿地方を中心に分布し、祭祀の道具として使われました。
瀬戸内海周辺に多く分布し，武器としてではなく祭器として用いられた青銅器は何か。,平形銅剣,第1章,瀬戸内海沿岸を中心に分布する、祭祀用の幅の広い青銅製の剣です。
九州地方に銅戈とともに多く分布し，刺突武器や祭器として用いられた青銅器を何というか。,銅矛,第1章,九州北部を中心に分布する、祭祀用の大型の青銅製の武器です。
朝鮮・中国からの舶載品で魔除や権威の象徴とされた青銅器は何か。,銅鏡,第1章,祭祀の道具や権威の象徴として使われた青銅製の鏡。中国製や模倣した日本製があります。
木製農具を製作するための斧，鉇，刀子などの道具を何というか。,鉄製工具,第1章,鉄製の斧や鍬（くわ）の先など。石器に代わって木材の加工や耕作の効率を飛躍的に高めました。
弥生時代前期に低湿地で営まれた湿田に対し，中期以降に鉄製農具の普及により開発が進められた，灌漑施設をもつ田を何というか。,半乾田,第1章,排水のよい乾燥した田。鉄製農具の普及により、生産力の高い乾田の開発が進みました。
水田に入る際に足が沈まないように履いた大型の板を何というか。,田下駄,第1章,湿田に足が沈み込むのを防ぐために履いた、大型の板状の下駄です。
通常２つの穴を持つ半円形の，朝鮮半島とも共通する大陸系の石器である石包丁（石庖丁）を使って，稲穂を摘む収穫方法を何というか。,穂首刈り,第1章,収穫の際、石包丁を使って稲の穂先だけを切り取る収穫方法です。
収穫物を貯蔵するために床を高くした掘立柱の建物を何というか。,高床倉庫,第1章,穀物を貯蔵するための建物。床を高くして風通しを良くし、ネズミ返しで害を防ぎました。
脱穀のために木臼とともに用いた木製農具を何というか。,竪杵,第1章,収穫した穀物を脱穀（脱粒）するために、木臼（きうす）の中でついて使った木の棒です。
1943年に発見され，矢板で作った畦道・水路などの遺構や多くの農具などの遺物が見つかった静岡県静岡市にある遺跡は何か。,登呂遺跡,第1章,静岡県にある弥生時代後期の遺跡。水田跡や木製農具、竪穴住居などが発見されました。
佐賀県の吉野ヶ里遺跡や奈良県の唐古・鍵遺跡に代表される，周囲を濠や土塁で囲んだ防衛的機能を持つ集落を何というか。,環濠集落,第1章,周囲に深い堀（溝）を巡らせた集落。防御や集団の結束を目的として作られました。
香川県の紫雲出山遺跡のように山頂・丘陵上に営まれた集落を何というか。,高地性集落,第1章,山の頂や中腹など、見晴らしの良い高い場所に作られた集落。軍事的な役割があったと考えられます。
九州北部に多く見られる，死者を大型の甕に入れて埋葬した墓を何というか。,甕棺墓,第1章,九州北部に見られる、大型の土器（甕）を合わせたものを棺とする墓制です。
墳丘墓には円形の墳丘の両端が突出した岡山県の楯築墳丘墓，方形の四隅がそれぞれ張り出した山陰地方の四隅突出型墳丘墓などがあるが，方形の墳丘の周囲に溝をめぐらした墓を何というか。,方形周溝墓,第1章,周囲に溝を巡らせた方形の墓。弥生時代に全国的に普及しました。
縄文時代の屈葬に対して，弥生時代に多く見られた死者の両脚を伸ばして葬る埋葬方法は何か。,伸展葬,第1章,手足を伸ばした状態で埋葬する形式。縄文時代の屈葬に代わって弥生時代から一般的になりました。
弥生時代に各地に形成された，政治的なまとまりを持つ小集団のことを「ムラ」や「クニ」というが，こうした段階を総称して何というか。,小国,第1章,弥生時代の日本列島に存在した、水稲耕作を基盤とする小さな政治的まとまりのことです。
水田に籾を直接蒔く方法を何というか。,直播,第1章,苗代を作らず、田に直接種をまく稲作の手法。弥生時代の初期に見られました。
自然物や自然現象を対象とした，農耕の無事・豊作を願う宗教的儀礼は何か。,農耕儀礼,第1章,豊作を祈る祈年の祭や、収穫を感謝する収穫祭など、農作業の節目に行われた儀礼です。
東日本最古の水田跡が発見された，青森県弘前市にある遺跡は何か。,砂沢遺跡,第1章,青森県にある弥生時代前期の遺跡。東日本における稲作伝来の早さを示す重要な遺跡です。
奈良県田原本町で発見された，日本最大級の環濠集落は何か。,唐古/鍵遺跡,第1章,奈良県にある弥生時代最大級の環濠集落遺跡。多くの木製農具や楼閣が描かれた土器が出土しました。
二重の濠や望楼が備えられ墳丘墓があった佐賀県の遺跡は何か。,吉野ヶ里遺跡,第1章,佐賀県にある大規模な環濠集落遺跡。クニの成立過程を示す、大規模な防御施設や墳丘墓が見られます。
青銅製祭器の作製・使用・分布に新たな問いを提起することになった，島根県出雲市斐川町の遺跡は何か。,荒神谷遺跡,第1章,島根県にある遺跡。358本もの銅剣や銅鐸・銅矛が出土し、祭祀のあり方に大きな衝撃を与えました。
九州北部でよく見られる，大型の平らな石を数個の支石で支えた墓を何というか。,支石墓,第1章,巨大な天井石を数個の支石で支える墓。朝鮮半島から九州北部に伝わった墓制です。
３世紀中頃～後半頃に西日本各地で出現した，大きな墳丘を築き，その斜面に葺石を敷くなどした豪族の墓を何というか。,古墳,第2章,土を高く盛り上げた古代の有力者の墓。3世紀後半から7世紀にかけて盛んに造られました。
奈良県大和地方を中心に成立した有力豪族の連合政権を何というか。,ヤマト政権,第2章,4世紀頃、近畿地方の有力な豪族を中心に形成された、日本列島を統合した政治権力です。
近畿地方を中心に多く造られ，その分布や規模が２の政権の発展過程と密接な関係があるとされる墳墓を何というか。,前方後円墳,第2章,日本独自の形をした古墳。円形の主丘に方形の突出部がつき、ヤマト政権とのつながりを示します。
棺の中に遺体とともにおさめられた，その遺体の人物の社会的地位が推測できる品物を何というか。,副葬品,第2章,鏡、剣、玉などの石製品や鉄製武器など、被葬者とともに埋葬された品々のことです。
邪馬台国論争の重要な資料である，前期古墳の副葬鏡は何か。,三角縁神獣鏡,第2章,前方後円墳から多く出土する青銅鏡。魏の年号が刻まれたものもあり、女王卑弥呼との関連が注目されています。
１に並べられた，円筒と形象に大別される素焼きの土製品は何か。,埴輪,第2章,古墳の墳丘や周囲に並べられた焼き物。円筒埴輪や、家・人物・動物をかたどった形象埴輪があります。
古墳時代前～中期の高塚式古墳に多くみられた内部構造で，遺体・遺物を長方形の石室に埋葬後，封土を盛ったつくりを何というか。,竪穴式石室,第2章,古墳の初期から中期に見られる、天井から棺を納める形式の石室。閉鎖的で追葬が困難です。
古墳時代前～中期に見られ，石室を造らずに木棺の外を粘土によって厚く固めたものを何というか。,粘土槨,第2章,木棺の周囲を粘土で覆う埋葬施設。竪穴式石室の簡略化された形として現れました。
古墳時代後期の高塚式古墳にみられた，遺体を安置した玄室と外部を羨道でつなぎ，追葬を可能にした内部構造を何というか。,横穴式石室,第2章,古墳時代後期に普及した、横側にしつらえた入り口から棺を納める石室。家族などの追葬が可能です。
大阪府堺市にある百舌鳥古墳群の中心をなす前方後円墳は何か。,大仙陵古墳,第2章,大阪府堺市にある日本最大の前方後円墳。仁徳天皇の墓と伝えられています。
大阪府羽曳野市にある古市古墳群の中心をなし，応神天皇陵とされる前方後円墳は何か。,誉田御廟山古墳,第2章,大阪府羽曳野市にある大規模な前方後円墳。応神天皇の墓と伝えられています。
天皇という称号が使われる前，２の政権の首長は何と呼ばれたか。,大王,第2章,ヤマト政権の首長の称号。のちの「天皇」にあたる呼称です。
前１世紀に鴨緑江沿岸に建国し，313年には楽浪郡を滅ぼして朝鮮半島北部まで領有した国は何か。,高句麗,第2章,朝鮮半島北部にあった国。4世紀後半、広開土王の時代に南下し、ヤマト政権（倭）とも交戦しました。
345年頃，馬韓50余国を統一して建国した，日本との親交が深く，大陸文化の伝来に大きく影響した国は何か。,百済,第2章,朝鮮半島南西部にあった国。ヤマト政権とは友好関係にあり、仏教や儒教を伝えました。
356年，朝鮮半島南部の辰韓12国を統一して建国し，のちに唐と結んで朝鮮半島を統一した国は何か。,新羅,第2章,朝鮮半島南東部にあった国。ヤマト政権や百済と対立し、のちに朝鮮半島を統一しました。
２の政権が４世紀末から５世紀初めに13の国と交戦した際の様子を伝える，中国吉林省集安市にある記念碑は何か。,広開土王碑/好太王碑,第2章,朝鮮半島にある石碑。4世紀末からの倭（ヤマト政権）と高句麗の激しい戦闘の記録が刻まれています。
大陸での争乱を避け，朝鮮半島経由で渡来して２の政権に貢献した人びとを何というか。,渡来人,第2章,朝鮮半島や中国大陸から日本に移り住んだ人々。漢字、儒教、仏教や最新の技術を伝えました。
渡来人について，『論語』・『千字文』を伝えたとされる西文氏の祖は，それぞれ誰か。,王仁,第2章,百済から渡来し、漢字（論語・千字文）を伝えたとされる伝説的な人物です。
石室の壁面や石棺に彩色画や彫刻などを施した古墳を何というか。,装飾古墳,第2章,石室の壁面に彩色や彫刻で文様が描かれた古墳。九州北部に多く見られます。
小さい前方後円墳や円墳などが多数集まった，有力な農民の台頭をあらわす古墳群を何というか。,群集墳,第2章,小規模な円墳が特定の場所に密集して造られたもの。有力農民などの家族墓と考えられています。
６世紀頃，百済から来日し儒教を伝えた者たちを何というか。,五経博士,第2章,百済から渡来した、儒教を教える学者。これ以降、ヤマト政権に学問的教養が普及しました。
最古の金石文が記された，奈良県天理市石上神宮の神宝は何か。,石上神宮七支刀,第2章,石上神宮に伝わる特殊な形の剣。百済王から倭王に贈られたとされる銘文が刻まれています。
