question,answer,chapter,explanation
甚大な自然災害を被った地域において、地方自治体の担当部署が被災者の心のケアのための相談窓口を開設することは、公助に該当する。,〇,1 共通テストの過去問,地方自治体などの公的機関が主体となって法や予算に基づいて提供する救済・支援活動は公助に該当します。
甚大な自然災害の直後、地方自治体による救援物資が届くまでの間に、住民が備蓄していた食料を相互に持ち寄って飢えをしのぐことは、公助に該当する。,×,1 共通テストの過去問,住民同士が地域社会やコミュニティにおいて相互に助け合う活動は公助ではなく共助に該当します。
ロールズの公正としての正義における格差原理では、社会保障制度を構築する際、最も不遇な立場にある人々の状況が改善されるようにするべきだとする。,〇,1 共通テストの過去問,ロールズの格差原理は、再分配の際に最も不遇な立場（最も恵まれない人）の状況が改善される社会保障制度を構築すべきだとする考え方です。
ロールズの公正としての正義における格差原理では、社会保障制度を構築する際、問題を抱える人々の中でも、最大多数の人々が利益を受ける制度を優先すべきだとする。,×,1 共通テストの過去問,最大多数の人々が利益を受ける制度を優先する考え方は功利主義的な発想であり、最も不遇な立場の人々を最優先するロールズの格差原理とは異なります。
一国の経済成長とは、実質GDP（国内総生産）の値が大きくなり、一年間に国内で生み出された付加価値の合計が増加することをいう。,〇,1 共通テストの過去問,実質GDPの増加を伴う経済成長は、一年間に国内で新たに生み出された付加価値の合計が増加することを意味します。
現実の経済格差に対して設けられている累進課税制度において、所得が多くなるにつれて段階的に高い税率が適用される代表的な直接税として、消費税がある。,×,1 共通テストの過去問,所得が多くなるにつれて高い税率が課される代表的な累進課税は所得税（直接税）であり、消費税は逆進性を持つ間接税です。
日本における国民健康保険などの社会保険は、すべての人に対して、無条件に、現金を給付したり社会保障サービスを提供したりするものである。,×,1 共通テストの過去問,国民健康保険などの社会保険は一定の要件を満たす人（被保険者等）に対して給付やサービスを提供する仕組みです。
公的扶助に区分される生活保護制度は、生活に困窮するなどの一定の要件を満たす人に対して、現金を給付したり社会保障サービスを提供したりするものである。,〇,1 共通テストの過去問,生活保護は、資産や収入などの一定の要件（困窮状態）を満たす人に対して、健康で文化的な最低限度の生活を保障するために現金給付やサービスを提供します。
自分たちの文化が優れていると考え、他国の文化を自国の基準で評価し、さらには序列化してしまう心情や態度をエスノセントリズム（自民族中心主義）と呼ぶ。,〇,1 共通テストの過去問,自文化を優れているとして他文化を自国基準で評価・序列化する態度は、エスノセントリズム（自民族中心主義）の典型的な定義です。
津地鎮祭訴訟の最高裁判決（1977年）では、三重県津市が市立体育館の起工式における神道の地鎮祭の費用を公費から支出したことについて、憲法の政教分離原則に違反し違憲であるとされた。,×,1 共通テストの過去問,津地鎮祭訴訟において、最高裁判所は地鎮祭を世俗的な民俗行事とみなし、政教分離原則には違反しないとして合憲と判断しました。
