question,answer,area
アフリカ各地に出現した人類で，「南方の猿」を意味する猿人をまとめて何というか。,アウストラロピテクス,アフリカ
猿人のなかには，河原などの自然石を打ち欠いただけの簡単な打製石器（石核石器）を用いたものもいたが，この石器を何というか。,礫石器,アフリカ
19世紀末ジャワ島のトリニールでオランダ人デュボワが発見した原人の名称を何というか。,ジャワ原人,東南アジア
中国の北京近くの周口店で出土した，打製石器を用い，火を使用したとされる原人を何というか。,北京原人,東アジア
約60万年前，現代の人類とほぼ同じ脳容積をもつ旧人が出現したとされるが，ヨーロッパ各地で出土した旧人の名称を何というか。,ネアンデルタール人,ヨーロッパ
旧人は，死者をいたむ観念をもっていたと考えられるが，どんな風習がそのことを示しているか。,埋葬の風習,ヨーロッパ
約20万年前の更新世末期には，現生人類に属する新人が出現したとされるが，南フランスで発見された新人の名称を何というか。,クロマニョン人,ヨーロッパ
新人は動物の骨・角・歯・牙を加工し，銛・釣針・槍・装身具を作ったが，この道具を何というか。,骨角器,ヨーロッパ
スペイン北部の代表的な洞穴美術遺跡を何というか。,アルタミラ,ヨーロッパ
人類が打製石器や骨角器を用いて生活を営んだ時代を何というか。,旧石器時代,
旧石器時代における食料獲得のための三つの方法は何か。,狩猟・漁労・採集,
約１万年前に氷期が終わり，新人は食料に関して，獲得経済から生産経済に大転換したが，この時代を旧石器時代に対して何というか。,新石器時代,
新石器時代以降の食料取得のための二つの方法は何か。,農耕・牧畜,
石斧・石臼・石皿など，砂や砥石で研磨した石器を何というか。,磨製石器,
新石器時代に作られた器で，調理用・貯蔵用の器を何というか。,土器,
薄手の素焼きの表面に，赤・紫・白・黒などの顔料で文様を描いた器を何というか。,彩文土器,
メソポタミア地方で始まった，河川などから人工的に水を供給する農法を何というか。,灌漑農法,西アジア・北アフリカ
銅と錫の合金でつくられた武器・装身具・祭器を何というか。,青銅器,
神殿を中心に発達した，中心市と周辺支配地域からなる小国家を何というか。,都市国家,
文字が発生する以前を先史時代というが，発生後の時代を何というか。,歴史時代,
「日ののぼるところ」を意味するラテン語で，古代のエジプトと西アジアおよびその周辺を指した言葉は何か。,オリエント,西アジア・北アフリカ
ティグリス・ユーフラテス両河の地域を指し，ほぼ今日のイラクにあたる地方を何というか。,メソポタミア,西アジア・北アフリカ
前3000年ころ，ウル・ウルク・ラガシュ等の都市国家をつくり，楔形文字を残した系統不明の民族を何というか。,シュメール人,西アジア・北アフリカ
前24世紀中頃，メソポタミア最初の統一国家を樹立した民族を何というか。,アッカド人,西アジア・北アフリカ
前19世紀初め頃，バビロンを都として建設された王国は何か。,バビロン第１王朝,西アジア・北アフリカ
バビロン第１王朝を建設したセム語系遊牧民を何というか。,アムル人,西アジア・北アフリカ
全メソポタミアを統一したバビロン第１王朝第６代の王は誰か。,ハンムラビ王,西アジア・北アフリカ
ハンムラビ王が制定した，復讐法・身分法を特色とする法典を何というか。,ハンムラビ法典,西アジア・北アフリカ
ハンムラビ法典で，同害復讐法の原則を表す言葉は何か。,目には目を歯には歯を,西アジア・北アフリカ
馬に引かせた戦車と鉄製武器を使用し，前18世紀頃小アジアに王国を建て，バビロン第１王朝を滅ぼした民族を何というか。,ヒッタイト,西アジア・北アフリカ
エジプトが，ナイル川の定期的氾濫によって運ばれた肥沃な土壌の上に栄えたことを，ギリシアの歴史家ヘロドトスは何と表現したか。,エジプトはナイルのたまもの,西アジア・北アフリカ
古代エジプトの王の称号を何というか。,ファラオ,西アジア・北アフリカ
古代エジプトの太陽神の一つであり，古王国時代に国家の最高神とされたものを何というか。,ラー,西アジア・北アフリカ
王の絶大な権力を象徴するものとして，古王国時代にさかんに建造されたものを何というか。,ピラミッド,西アジア・北アフリカ
シリア方面から馬と戦車を使用した遊牧民がエジプトに流入し，中王国時代末期に一時王朝を建てたが，この遊牧民を何というか。,ヒクソス,西アジア・北アフリカ
アトン神を唯一神とする宗教改革を断行し，自らもイクナートンと称した，新王国時代の王は誰か。,アメンホテプ４世,西アジア・北アフリカ
パピルスに記され，ミイラとともに副葬された，死後の世界への案内書を何というか。,死者の書,西アジア・北アフリカ
