question,answer,chapter,explanation
すべての生物の細胞において、細胞膜の外側には細胞壁が存在する。,×,1 共通テストの過去問,細胞壁は植物細胞や細菌などには存在するが、動物細胞には存在しないため、すべての生物の細胞に共通する特徴ではない。
すべての生物の細胞に共通する特徴として、染色体が核の内部に存在することが挙げられる。,×,1 共通テストの過去問,大腸菌などの原核生物は核膜を持たないため、染色体が核の内部には存在せず細胞質基質中にむき出しで存在する。
すべての生物の細胞は、ミトコンドリアを用いて呼吸を行う。,×,1 共通テストの過去問,大腸菌などの原核生物はミトコンドリアを持たないため、すべての生物の細胞に共通する特徴ではない。
すべての生物の細胞は、無機物のみから有機物を合成する独立栄養生物である。,×,1 共通テストの過去問,動物や多くの細菌などの従属栄養生物は、無機物から有機物を自ら合成することができない。
地球上に存在するすべての生物の細胞は、共通してRNAと酵素を持っている。,〇,1 共通テストの過去問,原核生物から真核生物にいたるまで、すべての生物の細胞は遺伝情報の仲介役となるRNAと、生体触媒である酵素を持っている。
生物の種類によらず、2本鎖DNAに含まれるシトシンの数の割合とグアニンの数の割合は等しい。,〇,1 共通テストの過去問,DNAはアデニンとチミン、グアニンとシトシンがそれぞれ相補的に結合して2本鎖を形成しているため、CとGの割合は常に等しくなる（シャルガフの規則）。
異なる生物種の間において、ゲノム内の遺伝子の数が同じであれば、そのゲノムの大きさ（総塩基対数）は必ず等しくなる。,×,1 共通テストの過去問,ゲノムの大きさには遺伝子以外の非翻訳領域（イントロンや繰り返し配列など）も含まれるため、遺伝子数が同じでもゲノム全体の大きさは生物種によって大きく異なる。
遺伝暗号において、タンパク質を構成する1つのアミノ酸に対応するDNAの塩基配列（コドン）は、必ず1種類のみに限定されている。,×,1 共通テストの過去問,ほとんどのアミノ酸には複数のコドンが対応しており（例えばロイシンやアルギニンなど）、1種類のみとは限らない。
RNAを構成する4種類の塩基は、アデニン（A）、チミン（T）、グアニン（G）、シトシン（C）である。,×,1 共通テストの過去問,RNAを構成する塩基は、チミン（T）ではなくウラシル（U）である。アデニン（A）、ウラシル（U）、グアニン（G）、シトシン（C）の4つからなる。
個々の細胞における転写では、ゲノムであるDNAの全領域の塩基配列がくまなくmRNAに写し取られる。,×,1 共通テストの過去問,細胞ごとに発現する遺伝子は決まっており、その時に必要な特定の遺伝子領域だけがmRNAに転写される。
ヒトの血糖（グルコース）が不足した状態が続くと、複数の異なるホルモンが協力して働き、血糖濃度を増加させる。,〇,1 共通テストの過去問,血糖値を上昇させるホルモンには、グルカゴン、アドレナリン、糖質コルチコイド、成長ホルモンなど、複数のホルモンが存在する。
ヒトの副腎において、外側の副腎皮質と内側の副腎髄質からは、それぞれ異なる種類のホルモンが分泌される。,〇,1 共通テストの過去問,副腎皮質からは糖質コルチコイドや鉱質コルチコイドが分泌され、副腎髄質からはアドレナリンが分泌される。
ヒトの自律神経系において、交感神経と副交感神経は、どちらも中脳や延髄からのみ出ている。,×,1 共通テストの過去問,交感神経は脊髄（胸髄・腰髄）から出ており、中脳や延髄からは出ていない。
運動時には、交感神経の働きによって心臓の拍動が促進され、全身の組織への酸素供給量が増加する。,〇,1 共通テストの過去問,活動時や運動時には交感神経が優位になり、心拍数を増加させて血液循環を活性化させる。
甲状腺から分泌されたチロキシンの濃度が上昇すると、視床下部や脳下垂体前葉に働きかけ、チロキシンの分泌を抑制するフィードバック調節が起こる。,〇,1 共通テストの過去問,ホルモンの濃度が上がるとその分泌源の上位機関を抑制する作用を「負のフィードバック」と呼ぶ。
大量の発汗によって体内の水分が失われ体液の塩類濃度が上昇すると、脳の間脳視床下部がこれを感知し、腎臓での水の再吸収を促進するホルモンが分泌される。,〇,1 共通テストの過去問,体液の浸透圧上昇は間脳（視床下部）で感知され、脳下垂体後葉からバソプレシンが分泌されて腎臓での水の再吸収を促進する。
ヒトの自然免疫において、白血球の一種である好中球は、食作用によって体内に侵入した細菌を取り込んで排除する。,〇,1 共通テストの過去問,好中球は強い食作用を持ち、異物を細胞内に取り込んで分解する自然免疫の主要な細胞である。
ヒトの自然免疫を担う白血球の一つであるマクロファージは、食作用を持たない細胞である。,×,1 共通テストの過去問,マクロファージは非常に強力な食作用を持つ大食細胞であり、体内の異物を貪食して処理する。
自然免疫による異物の排除には、免疫細胞の食作用などのほかに、特異的な抗体も主に関与している。,×,1 共通テストの過去問,抗体が関与して異物を排除するのは「獲得免疫（体液性免疫）」の働きであり、自然免疫には直接関与しない。
自然免疫は、過去にその病原体に感染した経験（免疫記憶）の有無によって、次回以降の働き方が大きく変化する。,×,1 共通テストの過去問,免疫記憶を作って2回目以降に強く素早く働くのは「獲得免疫」の特徴であり、自然免疫は過去の感染経験に関わらず常に一定の初期対応を行う。
植生遷移において、一次遷移が進行して土壌の発達が進むと、その土地に生育する植物種の数は一般に増加する。,〇,1 共通テストの過去問,遷移が進行して裸地から荒原、草原、低木林、混交林へと発達するにつれて、生育できる植物の多様性（種数）は増加する。
遷移の初期に出現する先駆植物（パイオニア植物）は、栄養分が極めて乏しい土壌に対する耐性が低い。,×,1 共通テストの過去問,先駆植物は、栄養分がほとんどない溶岩跡などの過酷な土地でも生育できる高い耐性を持っている。
植生が発達し土壌形成が進行していくと、土壌中に含まれる有機物の量は徐々に減少していく。,×,1 共通テストの過去問,植物や微生物の遺骸が蓄積していくため、遷移の進行にともない土壌中の有機物量は「増加」していく。
北海道の山に形成される森林限界の標高は、気候の温暖な本州中部の山における森林限界の標高よりも高い。,×,1 共通テストの過去問,緯度が高い（寒い）地域ほど気温が低いため、北海道のほうが本州中部よりも森林限界の標高は「低く」なる。
植物の森林限界が形成される主な環境要因の一つとして、標高の上昇に伴う気温の低下が挙げられる。,〇,1 共通テストの過去問,高地での低温や強風、積雪などが樹木の生育を妨げる主要因となり、森林限界が決定される。
地球温暖化によって地球全体の平均気温が上昇すると、山岳地域における森林限界の標高は今よりも低くなると予想される。,×,1 共通テストの過去問,気温が上昇すると、これまで寒すぎて樹木が育たなかったより高い標高まで森林が広がることができるため、森林限界の標高は「高く」なると予想される。
生物多様性の保全において、食物網の上位に位置するキーストーン種が絶滅した場合、その生態系全体へ及ぼす影響は極めて軽微である。,×,1 共通テストの過去問,キーストーン種は、生態系のバランスを保つ上で決定的な役割を果たしているため、その絶滅は生態系全体の崩壊や多様性の著しい低下を招く。
繊毛細胞は同化と異化を行うが、細菌は異化のみを行う。,×,1 共通テストの過去問,すべての生物（繊毛細胞も細菌などの原核生物も含む）は、生命活動を維持するために同化（物質の合成）と異化（物質の分解・呼吸など）の両方を行う。
繊毛細胞も細菌も、核の中に遺伝子の本体であるDNAを含む。,×,1 共通テストの過去問,真核細胞である繊毛細胞は核の中にDNAを持つが、原核生物である細菌は核（膜）を持たず、細胞質基質中にDNAが存在する。
葉緑体は、繊毛細胞には存在しないが、細菌には存在する。,×,1 共通テストの過去問,葉緑体は植物細胞などに存在する細胞小器官であり、動物細胞である繊毛細胞にも、原核生物である一般的な細菌（シアノバクテリア等の一部の光合成細菌を除く）にも通常は存在しない。
ミトコンドリアは、繊毛細胞には存在するが、細菌には存在しない。,〇,1 共通テストの過去問,ミトコンドリアは真核細胞（繊毛細胞など）に存在する細胞小器官である。原核生物である細菌はミトコンドリアなどの膜構造を持った細胞小器官を持たない。
自律神経系の働きは、呼吸数や心拍の調節のように、すべて意識的に（必要に応じて息を止めるなどのように）完全にコントロールすることができる。,×,1 共通テストの過去問,自律神経系（交感神経・副交感神経）による心拍数や多くの体内調節は、大脳の意識的な支配をほとんど受けず、無意識的・自動的に行われる。
体温が上がると、副腎髄質から自律神経系を通じて信号が心臓に伝わり、心拍数が増える。,×,1 共通テストの過去問,心拍数の調節などの信号は、脳（延髄）から直接、自律神経系（交感神経など）を介して心臓のペースメーカーに伝達される。副腎髄質から自律神経系を介して心臓に信号が送られるわけではない（内分泌系としては副腎髄質からアドレナリンが直接血液中に分泌されて心拍を増加させる）。
脳幹（中枢神経系）の一部である「延髄」は、自律神経系を通じて心拍や呼吸の調節に関わる。,〇,1 共通テストの過去問,延髄は呼吸運動や心臓の拍動、唾液分泌などの生命維持に直結する自律神経機能の調節中枢である。
心拍の調節には内分泌系と自律神経系がともに関与しているが、内分泌系による調節のほうが自律神経系よりも迅速に伝達される。,×,1 共通テストの過去問,神経（自律神経系）による信号伝達は、血液を介してホルモンを運ぶ内分泌系による調節に比べて、極めて迅速（秒単位以下）に行われる。
キラーT細胞は、同じT細胞の仲間であるヘルパーT細胞を直接活性化する役割を持つ。,×,1 共通テストの過去問,役割が逆である。病原体などの抗原認識情報を受け取った「ヘルパーT細胞」が、キラーT細胞やB細胞を活性化する。
キラーT細胞は、ウイルスなどの病原体に感染した自己の細胞や、がん細胞などを直接攻撃して排除する。,〇,1 共通テストの過去問,キラーT細胞は細胞性免疫において中心的な役割を果たし、抗原が提示された感染細胞を特異的に破壊する。
ヘルパーT細胞は、好中球やマクロファージのように、自身で活発な食作用を行うことで体内に侵入した病原体を直接排除する。,×,1 共通テストの過去問,ヘルパーT細胞は食作用を持たない。食作用を担うのは樹状細胞、マクロファージ、好中球などの自然免疫系細胞である。
ヘルパーT細胞は、B細胞を活性化して抗体の産生を促すが、自分自身で抗体を直接産生・分泌することはない。,〇,1 共通テストの過去問,抗体を直接産生・分泌するのは、活性化されたB細胞が分化した「形質細胞（抗体産生細胞）」であり、ヘルパーT細胞ではない。
海洋生態系において最上位の栄養段階に属する動物（マッコウクジラなど）は、一般に食物連鎖の下位にあるプランクトンや小魚などの動物と比べて、生態系における個体数が極めて少ない。,〇,1 共通テストの過去問,栄養段階が上がるにつれて、利用可能なエネルギー量が減衰していくため、上位の消費者ほど個体数（生物量）は少なくなる。
死体（遺体）を土中に埋めたとき、その死体に含まれていた有機物の化学エネルギーは、分解者などの他生物の生命活動や代謝に一切取り込まれない。,×,1 共通テストの過去問,土中に埋められた死体は細菌や菌類、その他の土壌生物によって分解（呼吸）され、有機物内の化学エネルギーはそれらの生物の生命活動や熱エネルギーとして利用・放出される。
日本国内の植生において、針葉樹林（亜高山帯の植生）は、中部地方から東北地方の亜高山帯に分布するほか、北海道地方では標高の低い低地（平地）でも優占する。,〇,1 共通テストの過去問,寒冷な針葉樹林（エゾマツ・トドマツなど）は、本州中部などでは高標高の亜高山帯に現れるが、緯度の高い北海道（特に北東部）では平地（低地）から広く優占する。
日本の代表的なバイオームである照葉樹林は、九州地方から関西地方（西日本）にかけての丘陵帯で優占するが、関東地方には一切分布しない。,×,1 共通テストの過去問,関東地方の平野部や丘陵帯（低地）も温暖なため、本来の自然植生はタブノキ、カシ類、シイ類などを代表とする「照葉樹林」が広く分布・優占する。
原核細胞と真核細胞に共通する特徴として、細胞内での化学エネルギーの受け渡しにATPを利用することが挙げられる。,〇,1 共通テストの過去問,すべての生物（原核生物・真核生物）は、細胞内でのエネルギーのやりとりに共通してATP（アデノシン三リン酸）を利用します。
原核細胞と真核細胞に共通する特徴として、細胞内で酵素反応が行われていることが挙げられる。,〇,1 共通テストの過去問,すべての生物は、生体内での化学反応（代謝）を促進するために、細胞内でさまざまな酵素を働かせています。
原核細胞と真核細胞に共通する特徴として、物質を分解してエネルギーを取り出す「異化」の仕組みを持つことが挙げられる。,〇,1 共通テストの過去問,生命活動に必要なエネルギーを得るため、すべての生物は物質を分解してエネルギーを取り出す「異化（呼吸など）」の仕組みを持っています。
原核細胞と真核細胞に共通する特徴として、物質は細胞膜を介して出入りすることが挙げられる。,〇,1 共通テストの過去問,すべての細胞は細胞膜に包まれており、細胞内外への物質の出入りは細胞膜を介して行われます。
原核細胞と真核細胞に共通する特徴として、ミトコンドリアや葉緑体を持つことが挙げられる。,×,1 共通テストの過去問,ミトコンドリアや葉緑体は「真核細胞」に特有の細胞小器官です。大腸菌などの原核細胞はこれらを持たないため、共通する特徴としては誤りです。
ゲノムのDNAに含まれる塩基のうち、アデニンの数とグアニンの数は常に等しい。,×,1 共通テストの過去問,シャルガフの規則により、等しいのは「アデニン（A）とチミン（T）の数」、および「グアニン（G）とシトシン（C）の数」です。アデニンとグアニンの数が等しいとは限りません。
ゲノムのDNAには、RNAに転写されず、タンパク質に翻訳もされない領域が存在する。,〇,1 共通テストの過去問,ゲノムDNAの中には、タンパク質の情報を持たない非翻訳領域や、遺伝子として働かない領域が多数存在しています。
同一個体における皮膚の細胞とすい臓の細胞とでは、中に含まれるゲノムの情報が異なる。,×,1 共通テストの過去問,同一の個体であれば、すべての体細胞はもともと1つの受精卵が体細胞分裂を繰り返してできたものなので、保持しているゲノム情報は基本的にすべて同じです。
単細胞生物が分裂により2個体になったとき、それぞれの個体に含まれる遺伝子の種類は互いに異なる。,×,1 共通テストの過去問,分裂（無性生殖）の際には、元の細胞のDNAが正確に複製されて均等に分配されるため、2つの個体が持つ遺伝子の種類は基本的に同じになります。
細胞が持つ遺伝子は、卵と精子が形成されるときに種類が半分になり、受精によって再び全種類がそろう。,×,1 共通テストの過去問,減数分裂によって卵や精子がつくられるとき、ゲノムの「量（染色体数）」は半分になりますが、遺伝子の「種類」が半分になるわけではありません。
血液の成分は、有形成分である血球と、液体成分である血清とからなる。,×,1 共通テストの過去問,血液は、有形成分である「血球」と、液体成分である「血漿（けっしょう）」から構成されています。血清は、血液を放置して凝固させたときに得られる上澄み液のことです。
赤血球、白血球、および血小板のうち、ヒトの血液中で最も数が多いのは血小板である。,×,1 共通テストの過去問,ヒトの血液中で最も数が多いのは「赤血球」です。
血液の液体成分に溶けている物質のうち、質量として最も多くを占めるものは無機塩類である。,×,1 共通テストの過去問,血液の液体成分（血漿）に溶けている物質のうち、最も多くを占めるのは「タンパク質（約7〜8%）」です。無機塩類が占める割合は1%未満です。
血液による酸素の運搬は、主に赤血球に含まれるヘモグロビンによって行われる。,〇,1 共通テストの過去問,酸素は主に、赤血球中にあるヘモグロビンと結合して全身の組織へと運ばれます。
白血球は、生体の免疫を担うとともに、体内の老廃物の運搬も行う。,×,1 共通テストの過去問,白血球は免疫（生体防御）を担いますが、老廃物の運搬を行うのは血液の液体成分である血漿です。
皮膚と血管が傷ついた直後に、傷口付近で起こる病原体に対する防御反応として、集まってきた血小板が病原体を体内に取り込んで処理する。,×,1 共通テストの過去問,血小板の主な働きは「血液凝固（止血）」であり、病原体を取り込んで処理する食作用は持っていません。
皮膚と血管が傷ついた直後に、傷口付近で起こる病原体に対する防御反応として、傷口を塞ぐために角質層がその場で新しく形成される。,×,1 共通テストの過去問,角質層は皮膚の最外層を覆う死んだ細胞の層であり、傷口ができた直後にその場で新しく形成されて物理的障壁となるわけではありません。
皮膚と血管が傷ついた直後に、傷口付近で起こる病原体に対する防御反応として、マクロファージが傷口付近で病原体を取り込む。,〇,1 共通テストの過去問,傷口から病原体が侵入すると、自然免疫（非特異的な生体防御）として、マクロファージなどの食細胞が迅速に集まり、食作用によって病原体を取り込みます。
皮膚と血管が傷ついた直後に、傷口付近で起こる病原体に対する防御反応として、ナチュラルキラー（NK）細胞が傷口から侵入した細菌などの病原体を直接攻撃して破壊する。,×,1 共通テストの過去問,NK細胞は、病原体に「感染した自己の細胞」や「がん細胞」を攻撃する細胞であり、侵入した細菌などの病原体を直接攻撃して排除するわけではありません。
