question,answer,chapter,explanation
人類は、化石人骨の研究によって、猿人・原人・新人の順に出現し、旧人は現れなかったことが知られている。,×,第1章,間違った文章である。人類は猿人・原人・旧人・新人の順に出現した。
地質学上の第四紀は、およそ1万年前を境に、更新世と完新世に区分される。,◯,第1章,正しい文章である。更新世は氷河時代とも呼ばれ、完新世は現在を含む温暖な時代である。
更新世の氷期には、現在よりも海面が著しく上昇したため、日本列島はアジア大陸から完全に孤立していた。,×,第1章,間違った文章である。氷期には海面が著しく下降し、アジア大陸と陸続きになった。
日本列島には、およそ60万年前にトウヨウゾウが、40万〜30万年前にはナウマンゾウが大陸からやってきたと推定されている。,◯,第1章,正しい文章である。これらは大陸と陸続きになった時期に渡来した。
打製石器だけが使われた時代を旧石器時代と呼び、磨製石器が加わった時代を新石器時代と呼ぶ。,◯,第1章,正しい文章である。磨製石器の使用は完新世以降に盛んになった。
日本列島に新人が渡ってきたのは、およそ3万8000年前の後期旧石器時代とされている。,◯,第1章,正しい文章である。アフリカで生まれた新人が東アジアに到達した後に渡来した。
沖縄県で発見された港川人や山下町第一洞人の化石人骨は、いずれも原人段階のものである。,×,第1章,間違った文章である。現在までに日本列島で発見された化石人骨は、すべて「新人」段階のものである。
DNA分析の結果によると、アイヌの人々や南西諸島の人々は、縄文人の遺伝子をより強く受け継いでいることが判明している。,◯,第1章,正しい文章である。日本人の形成過程において、縄文人の血を濃く残しているグループとされる。
最終氷期には、海面が現在よりも約100m低下し、日本列島は大陸とほぼ陸続きになっていた。,◯,第1章,正しい文章である。これが人類や大型動物が日本列島へ渡来するきっかけとなった。
化石人骨のうち、浜北人は沖縄県で発見された代表的な後期旧石器人である。,×,第1章,間違った文章である。浜北人は「静岡県」で発見された人骨である。沖縄県で発見されたのは港川人などである。
1949年、相沢忠洋が発見した岩宿遺跡において、打製石器が確認されたのは、更新世に堆積した火山灰の層である。,◯,第1章,正しい文章である。この層は「関東ローム層」と呼ばれ、日本における旧石器時代の存在を証明した。
旧石器時代の人々は、ナイフ形石器や尖頭器を棒の先に付けた石槍を用い、大型動物を捕らえていた。,◯,第1章,正しい文章である。ナウマンゾウやオオツノジカなどの大型動物が主な狩猟対象であった。
旧石器時代の終わり頃に広まった「細石器」と呼ばれる小型の石器は、東南アジアから日本列島へ伝わった。,×,第1章,間違った文章である。細石器は「中国東北部からシベリアにかけて」著しく発達し、日本へ広まった。
旧石器時代の遺跡で見つかる「集石（焼けた石の集合）」は、獲物を追い込むための罠（わな）として使われたと考えられている。,×,第1章,間違った文章である。集石は「肉を蒸し焼きにするような調理の場」であったと考えられている。
旧石器時代の人々は、10人前後の小規模な集団をつくり、食料を求めて絶えず移動する生活を送っていた。,◯,第1章,正しい文章である。そのため、住まいは簡単なテント式の小屋や洞穴であった。
約1万年前に完新世になると、気候の温暖化により海面が上昇し、ほぼ現在に近い日本列島が成立した。,◯,第1章,正しい文章である。これに伴い、植生が針葉樹林から広葉樹林へと変化した。
縄文文化の期間は、約1万6000年前から、水稲農耕が始まる約2800〜2500年前までとされる。,◯,第1章,正しい文章である。特に温暖化が顕著になる約1万1700年前以降に発展した。
縄文文化を特徴づける変化として、中・小型動物を射とめるための「弓矢」や、全面を磨いた「磨製石器」の出現がある。,◯,第1章,正しい文章である。大型動物の絶滅と中・小型動物の増加という環境変化に対応した。
縄文土器の変化に基づく時代の区分は、草創期・早期・前期・中期の4期に分けられる。,×,第1章,間違った文章である。縄文時代は「草創期・早期・前期・中期・後期・晩期」の「6期」に区分される。
世界最古級とされる縄文時代の草創期の土器は、完新世から更新世への逆行期に発明された。,×,第1章,間違った文章である。「更新世の終末から完新世への移行期」に、自然環境の変化に応じて生み出された。
縄文時代前期以降、クリやドングリなどの採集に加え、クリ林の管理・増殖やマメ類などの栽培も行われた可能性がある。,◯,第1章,正しい文章である。単なる採集だけでなく、植物資源を管理・活用していたことが判明している。
縄文時代の狩猟において、イヌは狩りのパートナーとして使われており、埋葬例も数多く見つかっている。,◯,第1章,正しい文章である。イヌが大切に扱われていたことが、手厚い埋葬の跡から読み取れる。
縄文時代、海面の上昇（海進）により入江の多い島国となったため、骨角器や網を用いた漁労が発達した。,◯,第1章,正しい文章である。各地に残る貝塚が、その漁労活動の活発さを物語っている。
縄文時代の集落は、一般に湿地帯などの低地に営まれることが多く、環状集落は晩期にのみ見られる。,×,第1章,間違った文章である。集落は「水はけのよい台地上」に営まれ、環状集落は「前期から中期」に増えた。
青森県の三内丸山遺跡では、大型の竪穴建物が見つかっており、多くの人を収容する共同施設であったと考えられている。,◯,第1章,正しい文章である。集落が大規模化し、社会組織が発達していたことを示している。
縄文時代の東日本で見られる「環状列石（ストーン＝サークル）」は、主に獲物を追い込むための罠（わな）として機能した。,×,第1章,間違った文章である。環状列石は「共同墓地」と考えられており、祖先祭祀の意識を反映している。
縄文時代には、黒曜石やヒスイの分布から、遠方の集団との交易が行われていたことが分かっている。,◯,第1章,正しい文章である。産地が限られる石材が広範囲に流通しており、情報の交換も行われていた。
縄文人は自然物に霊魂が宿ると考えるアニミズムを信じ、女性をかたどった土偶や石棒などの呪術具を用いた。,◯,第1章,正しい文章である。収穫の祈りや災いを避けるために、これらの遺物が作られた。
通過儀礼とされる「抜歯」の風習は、縄文時代草創期から始まり、中期にはすでに姿を消していた。,×,第1章,間違った文章である。抜歯は「中期の中頃」から見られ、「晩期」に盛んになった。
関東地方などで見られる「環状盛土遺構」は、集団が力を合わせて行った祭祀の遺構であると考えられている。,◯,第1章,正しい文章である。縄文時代後半に社会が徐々に複雑化していったことを示している。
九州北部で水田による米づくりが開始されたのは、縄文文化が終末を迎えた紀元前8世紀頃とされる。,◯,第1章,正しい文章。従来より古い年代が示されており、東日本には紀元前5〜前4世紀頃に広まった。
弥生文化は、大陸からの渡来人が、在来の縄文人と接触することなく独力で築き上げた文化である。,×,第1章,間違った文章。渡来人と在来の縄文人がともに生み出したものと考えられている。
九州北部などで発見される弥生人骨は、縄文人骨に比べて背が高く、顔は面長で起伏が少ないという特徴をもつ。,◯,第1章,正しい文章。これらは大陸からの渡来人、あるいはその子孫の特徴とされる。
弥生時代の水田には、三角州などの湿田や、自然堤防上の半乾田などがあり、すでに田植えが行われていたとする説もある。,◯,第1章,正しい文章。直播だけでなく、灌漑・排水設備を備えた本格的な水田経営が行われていた。
弥生時代の収穫具として、石包丁を用いた「根刈り」が普及したことで、農業生産力が飛躍的に向上した。,×,第1章,間違った文章。石包丁を用いて行われたのは、穂先のみを摘み取る「穂首刈り」である。
弥生時代中期の東日本では、方形周溝墓が伝わるまで、死者の骨を土器に詰める「再葬墓」が見られた。,◯,第1章,正しい文章。弥生時代の墓制は、地域によって著しい違いがあるのが特色である。
岡山県の楯築墳丘墓や山陰地方の四隅突出型墳丘墓の出現は、集団の中に身分の差が生じたことを示している。,◯,第1章,正しい文章。大規模な墳丘や多量の副葬品は、有力な支配者の出現を物語っている。
弥生人は、季節ごとに生えかわるシカの角を「イネ」の象徴とし、収穫の祭りなどに用いたと考えられている。,◯,第1章,正しい文章。また、鳥は現世と死後の世界を往来し、イネをもたらす生き物と考えられていた。
青銅製祭器の分布において、銅鐸は九州北部を中心に、銅矛・銅戈は近畿地方を中心に分布している。,×,第1章,間違った文章。分布が逆である。銅鐸は近畿地方、銅矛・銅戈は九州北部を中心に分布した。
銅鐸などの青銅製祭器は、有力者の個人の墓に副葬品として埋められるのが一般的であった。,×,第1章,間違った文章。個人の墓に埋められることは全くなく、集落の人々の共同の祭りに用いられた。
弥生時代に現れた「環濠集落」や「高地性集落」は、土地や水などをめぐる戦いに備えた防御的な施設と考えられている。,◯,第1章,正しい文章。縄文時代にはほとんど見られなかった戦いの時代の象徴である。
『漢書』地理志によれば、紀元前1世紀頃の倭人の社会は100余国に分かれ、後漢の都洛陽に定期的に朝貢していた。,×,第1章,間違った文章。『漢書』の記述では、倭人は「楽浪郡」に朝貢していたとされる（洛陽への朝貢は『後漢書』の奴国の記述）。
57年に後漢の光武帝から金印を受けた奴国の王は、志賀島で発見された「親魏倭王」の印を授かったとされる。,×,第1章,間違った文章。奴国王が受けたのは「漢委奴国王」の金印である。
107年、倭国王帥升等が「生口」と呼ばれる奴隷のような人々160人を、後漢の安帝に献じた。,◯,第1章,正しい文章。これは中国の史書に名を残す最初の倭人（個人名）の記録である。
『魏志』倭人伝によれば、2世紀末の倭国大乱を収めるため、邪馬台国の卑弥呼が諸国によって女王に共立された。,◯,第1章,正しい文章。これにより邪馬台国を中心とする約30国の小国連合が成立した。
卑弥呼は239年に魏の皇帝へ使いを送り、「親魏倭王」の称号とともに、多数の銅鏡などを贈られた。,◯,第1章,正しい文章。卑弥呼は、魏という大国の権威を背景に自らの立場を高めようとした。
邪馬台国の社会には「大人」や「下戸」といった身分差があり、租税や刑罰、市の制度も整えられていた。,◯,第1章,正しい文章。初期の国家的な統治組織が形成されていたことが読み取れる。
卑弥呼の死後、男の王が立ったことで国内は安定し、その後は女王が立てられることはなかった。,×,第1章,間違った文章。男王では国内が収まらず、卑弥呼の宗女である壱与（台与）が王となってようやく混乱が収まった。
266年に晋に使節を送ったのを最後に、倭国に関する記載は約150年間にわたり中国の歴史書から姿を消している。,◯,第1章,正しい文章。この「空白の4世紀」の間に、日本列島ではヤマト政権への統合が進んだと考えられる。
邪馬台国の所在地論争において、近畿説をとれば、3世紀前半にはすでに広域の政治連合が成立していたことになる。,◯,第1章,正しい文章。この広域連合がのちのヤマト政権に直接つながるという解釈が可能になる。
『漢書』地理志には、倭人が百余国に分かれ、定期的に楽浪郡へ朝貢していたことが記されている。,◯,第1章,正しい文章。「歳時を以て来り献見す」という記述が、定期的な朝貢を意味している。
『後漢書』によれば、57年に奴国の使者が光武帝から授かった印綬は、「親魏倭王」の金印である。,×,第1章,間違った文章。57年に授かったのは「漢委奴国王」の金印である。「親魏倭王」は3世紀の卑弥呼に対するもの。
『後漢書』には、107年に倭国王帥升等が「生口」と呼ばれる奴隷のような人々を献じたことが記されている。,◯,第1章,正しい文章。これは倭人の有力者が中国の皇帝に初めて個人名（帥升）を記録された例である。
『後漢書』の「桓霊の間、倭国大いに乱れ」という記述は、147年から189年頃の倭国大乱を指している。,◯,第1章,正しい文章。この乱の結果として、のちに卑弥呼が女王に共立されることとなる。
「魏志」倭人伝によれば、当時の倭人の成人男性は、顔や体に刺青（黥面文身）をしていた。,◯,第1章,正しい文章。「男子は大小と無く、皆黥面文身す」と記述されている。
邪馬台国には、租税を収めるための「邸閣」や、交易を行う「市」などの社会制度が整っていた。,◯,第1章,正しい文章。また、「大倭」と呼ばれる官が市を監督していたことも記されている。
邪馬台国連合において、女王国より北の諸国を検察し、諸国から恐れられていた官は「下戸」である。,×,第1章,間違った文章。諸国を検察したのは「一大率」である。下戸は一般庶民の身分を指す。
卑弥呼は「鬼道」を用いて大衆を掌握しており、夫はおらず、弟が政治を補佐していた。,◯,第1章,正しい文章。卑弥呼は呪術的な権威を背景に君臨し、実務は男弟が支えていた。
239年（景初二年）、卑弥呼は難升米らを魏へ派遣し、皇帝から「親魏倭王」の称号と金印紫綬を授かった。,◯,第1章,正しい文章。史料には当時の皇帝から卑弥呼に送られた詔書の内容が記録されている。
卑弥呼の死後に立てられた「宗女」とは、卑弥呼とは全く血縁関係のない、他氏族の女性のことである。,×,第1章,間違った文章。宗女とは「同族の女性」を指す。史料では13歳の壹与が王となった。
出現期の古墳は、長い木棺を横穴式石室におさめ、多数の銅鏡などの呪術的な副葬品をもつのが特徴である。,×,第2章,間違った文章。出現期（前期）の埋葬施設は「竪穴式石室」である。横穴式石室が一般化するのは後期（6世紀）からである。
古墳の波及は、4世紀中頃までに東北地方南部にまで及んでおり、東日本の広大な地域がヤマト政権に組み込まれたことを示している。,◯,第2章,正しい文章。画一的な前方後円墳の広がりは、各地の豪族が共通の墓制を受け入れた、すなわち政治連合の広がりを意味する。
古墳時代前期の副葬品には三角縁神獣鏡などの銅鏡が多く、中期の副葬品には鉄製の武器・武具や馬具が多く見られるようになる。,◯,第2章,正しい文章。これは被葬者の性格が「司祭者的な性格」から「武人的な性格」へ強まったことを示している。
