question,answer,chapter,explanation
夫れ（　A    ）海中に（　B　）有り。分れて（　C　）と為る。歳時を以て来り献見すと云ふ。【　D　】,楽浪/倭人/百余国/「漢書」地理志,第1章,紀元前1世紀頃の日本の様子。前漢の武帝が朝鮮に置いた楽浪郡へ通使していた。
（　A　）二年、倭の奴国、貢を奉じて朝賀す。使人自ら大夫と称す。倭国の極南界なり。（　B　）、賜ふに印綬を以てす。安帝の永初元年、倭の国王（　C　）等、生口（　D　）人を献じ、請見を願ふ。桓・霊の間、倭国大いに乱れ、更々相攻伐し、歴年主無し。【　E　】,建武中元/光武/帥升/百六十/「後漢書」東夷伝,第1章,57年の奴国への金印授与（光武帝）、107年の帥升による生口献上、2世紀後半の倭国大乱の記述。
倭人は（　A　）の東南大海の中にあり、山島に依りて国邑をなす。旧（　B　）余国。漢の時朝見する者あり。今、使訳通ずる所（　C　）国。【　D　】,帯方/百/三十/「魏志」倭人伝,第1章,3世紀、魏の歴史書における日本の記述。前漢時代の「百余国」から、この時代には「三十国」に統合が進んでいることがわかる。
（　A　）以て死す。大いに冢を作る。径百余歩、徇葬する者、奴婢百余人。更に男王を立てしも、国中服せず。更々相誅殺し、当時千余人を殺す。また（　A　）の宗女（　B　）年十三なるを立てて王となし、国中遂に定まる。【「魏志」倭人伝】,卑弥呼/壹与,第1章,卑弥呼の死と、その後の混乱を宗女である「壹与」が収めたことを記している部分。教科書の記述とともに確認したい。
（　A　）・（　B　）は旧より是れ属民にして、由来、朝貢す。而るに倭、以て（　C　）の年来、海を渡りて（　A　）を破り、（　B　）を□□し、以て臣民と為す。【高句麗好太王碑文】,百残/新羅/辛卯,第1章,4世紀末、倭が朝鮮半島へ進出した記述。高句麗側から見た記録のため、百済を百残と呼び、倭が百済や新羅を服属させたと記されている。辛卯の年が391年であることも頻出。
興死して弟（　A　）立ち、自ら使持節都督倭・百済・新羅・任那・加羅・秦韓・慕韓（　B　）国諸軍事、（　C　）、倭国王と称す。【「宋書」倭国伝】,武/七/安東大将軍,第1章,5世紀、倭王「武」（雄略天皇）の即位に関する記述。武は朝鮮半島諸国の軍事的指揮権を求めて七国諸軍事安東大将軍を自称したが、宋から認められたのは百済を除いた「六国」であった。この点も正誤問題で頻出。
皇太子親めて（　A　）を作りたまふ。一に曰く、（　B　）を以て貴しとし……。二に曰く、篤く（　C　）を敬へ。（　C　）とは（　D　）・（　E　）・（　F　）なり。……三に曰く、（　G　）を承りては必ず謹め。君をば天とす。臣をば地とす。……十七に曰く、夫れ事は独り断むべからず、必ず（　H　）と論ふべし。【日本書紀】,憲法十七条/和/三宝/仏/法/僧/詔/衆,第2章,604年制定。憲法十七条のなかでもとくに重要度の高い条文は意味もあわせて理解しておくこと。
（　A　）三年、其の王多利思比孤、使を遣わして朝貢す。……其の国書に曰く、「日出づる処の天子、書を日没する処の天子に致す、恙無きや、云々」と。帝、之を覧て悦ばず……。明年、上、文林郎（　B　）を遣わして倭国に使せしむ。【（　C　）】,大業/裴世/隋書倭国伝,第2章,607年、小野妹子による遣隋使の記録。倭王が隋の煬帝に対し、対等な外交を求めて「天子」の称号を用いたため、煬帝を不快にさせた。しかし、隋は当時高句麗との対立を抱えていたため、翌年には裴世清を返礼の使者として派遣し、国交は継続された。史料上は裴世清が裴世となるのが要注意ポイント。
其の一に曰く、昔在の天皇等の立てたまへる（　A　）の民、処々の（　B　）、及び別には臣・連……の所有てる（　C　）の民、処々の（　D　）を罷めよ。……其の三に曰く、初めて（　E　）・計帳・（　F　）の法を造れ。……其の四に曰く、旧の賦役を罷めて、田の（　G　）を行へ。【日本書紀】,子代/屯倉/部曲/田荘/戸籍/班田収授/調,第2章,646年に発されたとされる詔。皇室の私有民である子代・名代や私有地の屯倉、豪族の私有民である部曲や私有地の田荘を廃止する公地公民を宣言した。戸籍と計帳を作成して班田収授法を整備し、労働力支配から調を中心とした土地・戸別への課税へと転換した。
天下の諸国をして、各（　A　）一区を敬ひ造らしめ……其の造塔の寺は、兼ねて国華とせむ。……其の寺の名は（　B　）とせよ。尼寺は一十尼。其の名を（　C　）とせよ。……【続日本紀】,七重塔/金光明四天王護国之寺/法華滅罪之寺,第3章,741年、聖武天皇が発した国分寺建立の詔。鎮護国家の思想に基づき、諸国に僧寺である金光明四天王護国之寺と、尼寺である法華滅罪之寺を建立し、七重塔を設置させた。これらは後に東大寺を総国分寺とする組織体系へとつながる。
