question,answer,chapter,explanation
荀子は、人間本来の性は悪であるが、聖人たる君主の定めた規範を習得することによって、その傾向は矯正され得ると考えた。,〇,1 共通テストの過去問,荀子の「性悪説」の説明として正しい。荀子は、人間は後天的な努力や礼（規範）の修得によって善をなすことができると考えた。
エラスムスは、人間は原罪を負った存在であり、自らの自由意志によっては善を志すことができないと考えた。,×,1 共通テストの過去問,これはルターの主張である。エラスムスは人文主義者として人間の「自由意志」を肯定し、ルターと論争した。
マキャヴェリは、君主は暴力という悪を用いず、慈愛の力によって民衆の支持を得て、統治権を獲得しなければならないと考えた。,×,1 共通テストの過去問,マキャヴェリは『君主論』において、国家の維持や秩序のためには権力や武力、時には「悪」や恐れられることも辞さないリアリズム的政治観を唱えた。
王陽明は、人間は善悪を判断する先天的な能力によって、心の中から感情や欲望を除去すべきだと考えた。,×,1 共通テストの過去問,王陽明は「良知」（善悪を即座に判断する先天的能力）を重視したが、心の中から感情や欲望をすべて除去すべきとは説いていない（それはむしろ仏教的な解脱や朱子学的な厳しい欲の抑圧の文脈に近い）。
預言者であるイザヤは、当時の王や神殿の祭司の信仰を称賛し、王国の繁栄のために、彼らの信仰を見習うべきであるとした。,×,1 共通テストの過去問,古代イスラエルの預言者イザヤは、形骸化した宗教儀礼や王・祭司らの不義・不徳を厳しく批判し、神（ヤハウェ）への正義と信実を求めた。
スーフィズムでは、弱い自己に打ち勝とうとする内面的なジハードよりも、社会を守り拡大していくためのジハードが重視された。,×,1 共通テストの過去問,イスラームの神秘主義（スーフィズム）では、内面的な自己との闘い（精神的ジハード／大ジハード）が極めて重視された。
グロティウスは、自然法を、神の永遠の法に基づくものではなく、人間の理性に基づくものと捉えた。,〇,1 共通テストの過去問,「国際法の父」と呼ばれるグロティウスは、仮に神が存在しないとしても成立する普遍的な倫理・秩序として、人間の理性に根ざす「自然法」を定義した。
ルソーは、自由で平等な社会を実現するためには、公共の利益を追求する全体意志の表れである法に従うべきであると説いた。,×,1 共通テストの過去問,ルソーが唱えたのは「全体意志（全員の私利の総和）」ではなく、社会共通の利益を追求する「一般意志」である。
ソクラテスにとって、不正に命を失うことになろうとも、脱獄という不正を行うことは自分の魂を劣悪にすることであり、絶対になすべきではないと考えられた。,〇,1 共通テストの過去問,ソクラテスは『クリトン』において、「ただ生きるのではなく、よく生きること（魂への配慮）」を重んじ、ポリスの法を破る脱獄という不正行為を拒絶した。
ニーチェによれば、同情や平等こそ善であるといった既成の道徳は、弱者の強者に対する恨み（ルサンチマン）に基づくものであり、自らの生の肯定を困難にしている。,〇,1 共通テストの過去問,ニーチェの思想（『道徳の系譜』等）の説明として正しい。ニーチェはキリスト教的・近代的な道徳を奴隷道徳として批判した。
ヒュームによれば、理性は快・不快などの情念に対して支配的ではなく、善悪などの評価もまた、理性によって導かれるわけではない。,〇,1 共通テストの過去問,ヒュームは「理性を情念の奴隷」と位置づけ、道徳的な善悪の判断は理性ではなく倫理的な感情（共感・道徳的感情）に基づくと主張した。
フロイトによれば、社会規範を内在化した人間（超自我）は、罪責感などを通じて原始的な衝動（エス・超自我の対立）を抑圧し、行動を制御している。,〇,1 共通テストの過去問,フロイトのエス・自我・超自我による精神力動理論（精神分析学）の説明として正しい。
アウグスティヌスは、自らの外にではなく、自らの心の内に目を向けることによって、神と出会うことができるとし、神への愛に基づいて生きることの重要性を説いた。,〇,1 共通テストの過去問,キリスト教教父のアウグスティヌスは『告白』などで、内面における神との出会いと「神の愛（アガペー）」の絶対性を説いた。
モンテーニュは、自己反省の欠如による独断や不寛容が争いを引き起こすと考え、「私は何を知っているのか（ク・セ・ジュ）」と問い、既成の権威や教義にとらわれずに真理を探究し続ける姿勢を示した。,〇,1 共通テストの過去問,フランスのモラリストであるモンテーニュの懐疑主義と寛容思想の説明として正しい。
カントは、行為が道徳的であるための条件として動機を重視し、たとえ義務に基づくのではなくても、義務にかなっていれば道徳的に善いとした。,×,1 共通テストの過去問,カントは単に「義務にかなっている（道徳的法則に外見上一致している）」だけの行為ではなく、「義務から（義務の自覚・絶対的命令に従う動機から）」なされた行為のみを道徳的価値があるとみなした。
初期の仏典（『ダンマパダ』等）では、自分自身の心をよく調えることで自己を浄化できると説かれており、悪を捨て去って善の道を歩むことが示されている。,〇,1 共通テストの過去問,ブッダの初期の教え（自他・自己の探究）では、自己の修行と心を調えることによって過ち・悪から離れ、解脱を目指すことが重視された。
大乗経典（『維摩経』等）では、煩悩や輪廻の世界の中にあっても、その本性は清浄であり、悪や煩悩を単に切り捨てるのではなく昇華させて仏道を進むという考え方が存在する。,〇,1 共通テストの過去問,『維摩経』などの大乗仏教思想では、俗世や煩悩を否定・排除するのではなく、その中で慈悲と空の智慧を発揮して衆生を救済する（「煩悩即菩提」など）視点が重視された。
アーレントは、人々が対話を通じてものの見方の複数性を学ぶ政治的活動を「活動（アクション）」と呼び、全体主義を抑制する力になると考えた。,〇,1 共通テストの過去問,アーレントの『人間の条件』等における概念の説明として正しい。公的領域での言葉と行為による「活動」と複数性の確保が全体主義防止に繋がるとした。
ヤスパースは、極限状況において真の実存に目覚めた人間同士が、愛しながら戦う誠実な応答を行うことを「実存的交わり」と呼んだ。,〇,1 共通テストの過去問,ヤスパースの実存哲学の説明として正しい。「愛しながらの闘い（愛の対話）」を通じて他者とともに実存へ至るとした。
森鴎外は、『舞姫』などを通じて、世俗の現実と不本意に衝突せず、またそこに没落・埋没しきることもなく、社会の現実との矛盾を生き抜く「諦念（レジグナチオン）」の立場を示した。,〇,1 共通テストの過去問,森鴎外の近代日本文学・思想における「諦念（レジグナチオン）」の説明として正しい。
ノージックに代表されるリバタリアニズム（自由至上主義）では、個人は自らの所有物に対して正当な権限（権原）をもつため、たとえ社会全体の福祉目的であっても国家がそれを強制的に取り上げる（再分配などを行う）べきではないとする。,〇,1 共通テストの過去問,ノージックの「最小国家論」および所有権原論（正当な取得・譲渡による所有の絶対視）の説明として正しい。
ピーター・シンガーは、人間が他の生物（動物）を人間より劣ったものとして扱う姿勢を「種差別」と呼び、苦痛を感じる能力（感覚性）をもつ動物の功利主義的・平平等配慮を主張した。,〇,1 共通テストの過去問,環境倫理学・動物倫理学におけるピーター・シンガー（『動物の解放』）の説明として正しい。
シュヴァイツァーは、人間だけでなく全ての生きようとする生命を尊ぶ姿勢を「生命への畏敬」と呼び、倫理的責任の根底に据えた。,〇,1 共通テストの過去問,シュヴァイツァーの「生命への畏敬（Reverence for Life）」の説明として正しい。
ボールディングは、地球を限られた宇宙船に例えて「宇宙船地球号」と呼び、無限のフロンティア型（取尽くし型）経済から循環型経済への転換を主張した。,〇,1 共通テストの過去問,エコノミストのボールディングによる環境・経済思想の説明として正しい。
マックス・ウェーバーは、近代化に伴って世界から神秘性や合理的説明不能な要素が失われ、計算・予測可能な世界観に置き換わることを「世界の脱呪術化」と呼んだ。,〇,1 共通テストの過去問,マックス・ウェーバーの社会学思想（『プロテスタンティズムの倫理と資本主義の精神』等）の説明として正しい。
レイチェル・カーソンは『沈黙の春』において、化学農薬（DDT等）などの人工合成物が時間をかけた自然の適応プロセスを破壊し、生態系に壊滅的な破壊をもたらすことへ警鐘を鳴らした。,〇,1 共通テストの過去問,環境運動の先駆者であるレイチェル・カーソンの著作と主張の説明として正しい。
環境倫理における「土地倫理（ランド・エシックス）」を提唱したレオポルドは、人間を生態系という生命共同体の一構成員にすぎないと位置づけた。,〇,1 共通テストの過去問,アルド・レオポルド（『大地のエシックス』）の環境倫理思想の説明として正しい。
ヘシオドスは、『神統記』で神々の誕生と系譜を整理し、神々の思惑に翻弄されながらも懸命に生きる人間の姿を、美しいものとして描いた。,×,1 共通テストの過去問,ヘシオドスは『神統記』で神々の系譜を整理したが、『神術記』や『仕事と日』において神々の思惑に翻弄される人間の美しい姿を描いたという記述は不適当である。
デモクリトスは、無数の原子を想定し、それを超えた根源に万物の秩序として数的比例の美があると考えた。,×,1 共通テストの過去問,「万物の根源に数的比例（調和）の美がある」と考えたのはピタゴラス（ピタゴラス学派）である。デモクリトスは原子論（アトムと真空）を唱えた。
ソクラテスは、善や美に関する無知の自覚を重視し、人々に相対主義的な考え方を浸透させようとして弁論術を駆使した。,×,1 共通テストの過去問,ソクラテスは「無知の知（自覚）」を重視したが、弁論術を用いて相対主義的な価値観を広めようとしたのはソフィストたち（プロタゴラスなど）である。
プラトンは、様々な美しいものへの欲求をエロースと呼び、それは究極的には絶対的な美そのものに向かうとした。,〇,1 共通テストの過去問,プラトンのイデア論・エロースの説明として正しい。不完全な現実の美から、普遍的で絶対的な美（美のイデア）を慕い求める情熱をエロースと呼んだ。
ユダヤ教では、バビロン捕囚後に神殿が再建され、救世主（メシア）の像に対する礼拝を中心とした神殿祭祀と律法の遵守を説く共同体が作られた。,×,1 共通テストの過去問,ユダヤ教では絶対的な偶像崇拝の禁止（神やメシアの像を作ることの禁止）が徹底されているため、像に対する礼拝を行うことはない。
イスラームでは、モスクに神の像を飾らないが、メッカの方角を示すミフラブ（壁のくぼみ）が設けられ、しばしば幾何学模様の装飾がなされる。,〇,1 共通テストの過去問,イスラームの装飾・礼拝様式に関する説明として正しい。神（アッラー）の偶像制作は禁止されており、幾何学模様（アラベスク）やアラビア文字による装飾が発達した。
ブッダの死の場面を描いた釈迦涅槃図は、煩悩の火の消えたやすらぎの境地に至ったブッダが、よりよい世界に輪廻する様を表している。,×,1 共通テストの過去問,ブッダ（仏陀）の涅槃（完全なサマーディ・入滅）は、あらゆる煩悩を断ち切り輪廻の苦しみから脱した（解脱した）状態を指すため、「よりよい世界に輪廻する」のではない。
十字架につけられたイエスを描いた磔刑図は、預言者であるイエスの死によって人類の原罪が贖われた様を表している。,×,1 共通テストの過去問,キリスト教において、イエスは単なる「預言者」ではなく「神の子（キリスト・救世主）」と位置づけられる（預言者とみなすのはイスラームなど）。
アウグスティヌスは、パウロからだけではなくプロティノス（新プラトン主義）からも影響を受け、芸術作品の美しさが神に由来すると考えているが、作られた美への愛にとどまり続けてはならないと主張した。,〇,1 共通テストの過去問,アウグスティヌスの美観・キリスト教思想の説明として正しい。作られた有限な美に囚われることは「罠」であり、その根源である神そのものを愛すべきだとした。
孟子は、道徳的実践を重んじ、人の本性は善である（性善説）とする一方、充実した善にこそ美があるとし、礼楽を内面に根ざしたものと考えた。,〇,1 共通テストの過去問,孟子の性善説と儒家における道徳的・内面的価値観の説明として正しい。
荀子は、道徳的実践を重んじ、人の本性は善であるとする一方、充実した善にこそ美があるとし、礼楽を内面に根ざしたものと考えた。,×,1 共通テストの過去問,性善説を唱えたのは孟子である。荀子は「性悪説」を唱え、礼楽（規範）を後天的な矯正の手段として重視した。
荘子は、美などの価値は相対的なものにすぎないとし、何ものにもとらわれない自由の境地（逍遥遊）を強調することで、後世の文学や芸術に影響を与えた。,〇,1 共通テストの過去問,道家（老荘思想）の荘子の思想説明として正しい。万物斉同や無為自然の立場から世俗的な美醜の差を相対化した。
孔子は、礼楽の形骸化を単に憂えただけでなく、仁を表現するものこそが礼であることを強調し、礼に立ち返ること（克己復礼）の意義を説いた。,〇,1 共通テストの過去問,儒家の祖である孔子の思想説明として正しい。外的な規範（礼）の根底には内面的な愛（仁）が必要であるとした。
墨子は、従来の礼楽とは距離をおき、家族主義的な考え方（偏愛）を批判することで、人の分け隔てをしないような道徳（兼愛）を説いた。,〇,1 共通テストの過去問,墨家の祖である墨子の思想説明として正しい。儒家の差別的な愛（親親主義）を批判し、平等な博愛である「兼愛」を主張した。
老子は、道徳的実践を重んじ、人の本性は善であるとする一方、充実した善にこそ美があるとし、礼楽を内面に根ざしたものと考えた。,×,1 共通テストの過去問,老子は道家（無為自然）の祖であり、人為的な道徳や礼楽を自然なあり方を損なうものとして批判した。
あらゆる物事は縁起しており、無自性であり、したがって空（くう）であることは、大乗仏教に特徴的な思想であり、その原初的な考え方はブッダの諸法無我などの思想に含まれている。,〇,1 共通テストの過去問,大乗仏教（特に竜樹の中観思想）における「空」と「縁起」「諸法無我」の繋がりに関する説明として正しい。
無着（アサンガ）や世親（ヴァスバンドゥ）は、あらゆる物事は心が生み出したものであることを、識のみがあるという唯識の考え方を用いて説明し、この教説は玄奘によって中国に伝え直された。,〇,1 共通テストの過去問,大乗仏教の唯識派（無着・世親）と、それを中国に招来した玄奘（法相宗の祖）の説明として正しい。
『般若経』では主として、全ての衆生がブッダになる可能性を有しているという仏性の考え方を説いており、これを体系化した竜樹の考え方が鑑真によって日本にもたらされた。,×,1 共通テストの過去問,「全ての衆生がブッダになれる（一切衆生悉有仏性）」を説く代表的な教典は『涅槃経』や『法華経』などである。また、竜樹（ナーガールジュナ）が中心となって展開したのは『般若経』等に基づく「空」の思想である。
ガリレイやニュートンら17世紀の科学革命の担い手たちは、実験と観察を重視し、数式を用いて因果法則を解明しようとするなかで、やがて自然科学を宗教から独立させていった。,〇,1 共通テストの過去問,近世の自然科学の発展（科学革命）に関する説明として正しい。自然界の仕組みを神の直接的な介入ではなく機械論的・因果論的法則として捉えた。
コペルニクスは『天文対話』を著し、四原因を用いて自然現象を解明しようとした。,×,1 共通テストの過去問,『天文対話』を著したのはガリレイである。また、近世科学はアリストテレス的な「四原因（目的論）」を排し、機械論的な因果法則を求めた。
ルネサンス期の芸術家は、人間の目に映る世界の中に美を見出し表現しようとするヒューマニズム（人文主義）の精神から、作者の自己表現としての芸術観を生み出していった。,〇,1 共通テストの過去問,ルネサンスにおけるヒューマニズムと近代的な芸術観（自己表現・自律的価値）の発生に関する説明として正しい。
ベンヤミンの主張によれば、複製技術は作品がもつ唯一無二性（一回性）という価値（アウラ）を無力化するが、アクセスを容易なものとすることで作品を広く大衆に開く。,〇,1 共通テストの過去問,ヴァルター・ベンヤミン『複製技術時代の芸術作品』に関する説明として正しい。写真や映画などの複製技術によって作品の「アウラ」は失われるが、大衆への開放と新たな受容を生むとした。
ミシェル・アンリなどの論考によれば、芸術作品に触れることで得られる美的体験は、単なる趣味にとどまらず生きる上での倫理的な一要素であり、鑑賞者の自己のあり方を変容させる。,〇,1 共通テストの過去問,生の現象学などで論じられる美的体験と倫理・実践（自己変容）の関係についての説明として正しい。
マックス・ウェーバーは、西洋近代における合理化（脱呪術化）が芸術には及ばなかったのは、芸術が呪術性を脱することができないからだと主張した。,×,1 共通テストの過去問,ウェーバーは『音楽社会学』などにおいて、西洋音楽（音階や楽器の構造など）にも近代的な合理化・脱呪術化が浸透したと論じている。
ニーチェは、芸術の内部にある理性ではとらえきれない衝動（ディオニソス的衝動）が価値の転換をもたらし、弱者の連帯を生み出したと主張した。,×,1 共通テストの過去問,ニーチェはディオニソス的衝動（生命の根源的力）を評価したが、それが「弱者の連帯を生み出した」とはしていない。弱者の連帯や怨恨は「ルサンチマン（奴隷道徳）」として批判した。
マルクスは、人間の物質的生産活動（経済構造）を社会の下部構造とし、それが文化・芸術などの精神活動である上部構造を決定すると主張した。,〇,1 共通テストの過去問,マルクスの唯物史観（史的唯物論）の説明として正しい。下部構造（生産力・生産関係）が上部構造（法・政治・思想・芸術など）を規定するとした。
仏教が日本に伝えられた当初、人々は仏を「蕃神（となりの国の神）」などと呼び、既存の神の一種として受け止めた。,〇,1 共通テストの過去問,日本の神仏受容の初期段階（神仏習合の前段階）に関する説明として正しい。
