question,answer,chapter,explanation
地球の表面を海岸線で陸と海に分けると、陸地は地表の約70％、海洋は約30％を占めている。,×,第1章 地球,陸地と海洋の割合が逆である。正しくは、陸地が地表の約30％、海洋が約70％を占めている。地球は海洋の占める面積のほうが圧倒的に広い。
地球は全体としてほとんど球形に近いが、実際には自転による遠心力の影響で、赤道方向にわずかに膨らんだ形をしている。,◯,第1章 地球,正しい文章である。地球は自転による遠心力を受けているため、完全な球形ではなく、赤道方向にわずかに膨らんだ地球楕円体に近い形をしている。
古代ギリシャのアリストテレスは、月食のときに月に映る地球の影が常に四角形であることを、地球が球形である証拠の1つとして示した。,×,第1章 地球,間違った文章である。四角形ではなく、常に円形（丸い影）であることを地球が球形である証拠として示した。
エラトステネスが地球の大きさを求めた際、円の弧の長さ（2点間の距離）は、中心角（緯度の差）に比例するという関係を利用した。,◯,第1章 地球,正しい文章である。円において、中心角の大きさと弧の長さは比例する関係にある。エラトステネスはこのシンプルな幾何学の原理を用いて地球の周囲の長さを計算した。
エラトステネスの計算において、夏至の日の正午にシエネで太陽光が深い井戸の底まで届いたということは、太陽がシエネの真上（南中高度90度）にきたことを意味する。,◯,第1章 地球,正しい文章である。井戸の底までまっすぐ太陽光が届くということは、太陽が斜めではなく、シエネの天頂（真上、南中高度90度）に位置していることを示している。
ニュートンは地球の形について、自転の遠心力によって、赤道方向ではなく極（南北）方向に縦長く伸びた形になると主張した。,×,第1章 地球,間違った文章である。自転による遠心力は自転軸から最も離れた赤道上で最大となるため、地球は赤道方向に横長く膨らんだ扁平な形（扁平率がプラスの回転楕円体）になると主張した。
かつてフランス学士院が各地で測量を行った結果、地球は極（南北）方向に潰れて、赤道方向に膨らんだ楕円体であることが実証された。,◯,第1章 地球,正しい文章である。実際に各地で子午線の長さを測定した結果、ニュートンの主張通り、極方向に潰れて赤道方向に膨らんだ地球楕円体のモデルが正しいことが立証された。
地球が極方向に潰れて赤道方向に膨らんでいると実証されたことで、地球は赤道方向に膨らんでいるというニュートンの説が間違いであると判明した。,×,第1章 地球,間違った文章である。実測の結果、地球は極方向に潰れて赤道方向に膨らんでいることが確認されたため、ニュートンの説が正しい（合っている）ことが証明された。
楕円のつぶれ具合を表す偏平率（へんぺいりつ）は、その値が0に近いほど、より平らにつぶれた形であることを示している。,×,第1章 地球,間違った文章である。偏平率は、値が0に近いほどつぶれのない完全な球形に近いことを示す。地球の偏平率は約298分の1（約0.0034）であり、極めて球形に近い。
大陸棚（たいりくだな）は、陸地を取り囲む水深の浅い平坦な海底であり、ここには石油や天然ガスなどの重要な地下資源が埋蔵されていることもある。,◯,第1章 地球,正しい文章である。大陸棚は水深約200mまでの浅い平坦な海底平野であり、水産資源が豊富なだけでなく、石油や天然ガスなどの地下資源が埋蔵されている。
人類がこれまで直接掘削して到達したことのある最深の深さは、大陸地殻を貫通してマントルに達している。,×,第1章 地球,間違った文章である。人類が掘削した最も深い穴は約12 km（コラ半島）であり、厚さ30〜60 kmある大陸地殻すら貫通できていない。マントル物質の直接採取は未だ達成されていない。
地殻とマントルの境界であるモホロビチッチ不連続面（モホ面）は、地震波の速度が急激に遅くなることから見いだされた。,×,第1章 地球,間違った文章である。地震波の速度は、モホ面を境に急に速くなる。マントルを構成する岩石（かんらん岩）が地殻の岩石よりも密度が大きいためである。
大陸地殻は海洋地殻に比べて厚く、その上部は主に花こう岩、下部は主に斑れい岩からできている。,◯,第1章 地球,正しい文章である。大陸地殻の厚さは30～60 km（主に花こう岩・斑れい岩）であり、海洋地殻の厚さは5～10 km（主に玄武岩・斑れい岩）である。
マントルは地球の全体積の約83％を占めており、上部マントルは主にかんらん岩という岩石からなる。,◯,第1章 地球,正しい文章である。マントルはモホ面から深さ約2900 kmまでの固体部分であり、地球の体積の大部分を占めている。上部マントルを構成する代表的な岩石はかんらん岩である。
アイソスタシー（地殻均衡）の考え方に基づくと、陸上の標高が高い地域（大山脈など）ほど、その下のモホ面の深さ（地殻の厚さ）は浅くなっている。,×,第1章 地球,間違った文章である。標高が高い（地殻が厚く重い）場所ほど、マントル内へ深く沈み込むため、モホ面の深さは深く（厚く）なる。木片が水に浮かぶモデルと同様である。
氷期に厚い氷に覆われていたスカンジナビア地域では、氷が融けたことによってアイソスタシーが失われ、現在も土地の沈降が続いている。,×,第1章 地球,間違った文章である。氷の重みがなくなったことで地殻が軽くなり、アイソスタシーを回復しようとして、現在は土地の隆起が続いている。
地球の核は主に鉄（Fe）やニッケル（Ni）などの金属でできており、その大部分は深さに関わらず固体である。,×,第1章 地球,間違った文章である。核は外核（約2900〜5100 km）と内核（5100 km〜中心）に分かれており、外核は金属が融けた液体状態である。すべてが固体なわけではない。
外核は液体状の金属からなり、これが対流して電流が流れることで、地球の磁場（磁石の性質）が発生していると考えられている。,◯,第1章 地球,正しい文章である。この仕組みをダイナモ効果（地球ダイナモ説）と呼び、液体である外核の鉄の対流運動が地球磁場の形成に深く関わっている。
内核は外核よりも温度が高いが、受けている圧力が外核より極めて高いため、金属が融けずに固体の状態を保っている。,◯,第1章 地球,正しい文章である。地球中心部に近づくほど高温になるが、圧力の上昇による融点の変化が勝るため、最深部の内核（深さ約5100 km〜中心）は固体となっている。
地球深部（下部マントルや核）を構成する物質の化学組成は、地球の材料となった微惑星の物質を含む隕石の研究などからも推定されている。,◯,第1章 地球,正しい文章である。地球内部に直接行くことはできないため、地震波の観測や高圧実験に加え、地球の原材料物質を反映している隕石の組成分析が重要な手がかりとなる。
地表にはエベレストのような高い山や、マリアナ海溝のような深い海が存在するが、地球全体の大きさに比べるとその凹凸は非常に小さい。,◯,第1章 地球,正しい文章である。地球の半径は約6400 kmであるのに対し、世界最高峰のエベレストでも標高約8.8 km（半径の約700分の1以下）にすぎないため、地球全体から見れば極めて滑らかである。
