question,answer,era
相沢忠洋が群馬県で発見した旧石器時代の遺跡は？,岩宿遺跡,旧石器
旧石器時代にナウマンゾウなどを狩るために使われた石器は？,打製石器,旧石器
縄文時代に作られた、表面に縄目の模様がある土器は？,縄文土器,縄文
縄文時代の代表的な居住形態である、地面を掘った建物は？,竪穴住居,縄文
縄文時代、魔除けや安産を願って作られた土の製品は？,土偶,縄文
青森県にある縄文時代最大級の集落遺跡は？,三内丸山遺跡,縄文
縄文時代にゴミ捨て場として機能した場所は？,貝塚,縄文
モースが発見した東京都にある貝塚は？,大森貝塚,縄文
縄文時代に石器の材料として広く交易された黒い火成岩は？,黒曜石,縄文
弥生時代に大陸から伝わり、社会を激変させた農業は？,稲作,弥生
弥生時代に使われた、赤褐色で薄手・硬質の土器は？,弥生土器,弥生
弥生時代、収穫した稲の穂を摘み取るために使われた石器は？,石包丁,弥生
弥生時代、収穫した稲を湿気から守るために作られた倉庫は？,高床倉庫,弥生
弥生時代に作られた、祭祀用の青銅器（釣鐘型）は？,銅鐸,弥生
弥生時代の防御的な集落で、周囲に堀を巡らせたものは？,環濠集落,弥生
佐賀県にある大規模な環濠集落遺跡は？,吉野ヶ里遺跡,弥生
静岡県にある、水田跡が発見された弥生時代の遺跡は？,登呂遺跡,弥生
1世紀に後漢の光武帝から金印を授かったのは何の国？,奴国,弥生
福岡県の志賀島で発見された金印に刻まれていた文字は？,漢委奴国王,弥生
『魏志』倭人伝に記された、30余りの国を統めた女王は？,卑弥呼,弥生
卑弥呼が魏から授かった称号は？,親魏倭王,弥生
3世紀後半から造られ始めた、巨大な王の墓を何という？,古墳,古墳
日本独自の古墳形式で、円形と方形を組み合わせたものは？,前方後円墳,古墳
古墳の表面に並べられた土製の焼き物は？,埴輪,古墳
古墳の内部に収められた、死者を安置する部屋を何という？,石室,古墳
5世紀、朝鮮半島から渡来し、技術や文字を伝えた人々は？,渡来人,古墳
大和政権における、氏（一族）と姓（称号）に基づく制度は？,氏姓制度,古墳
527年、九州北部で大和政権に対して起こった反乱は？,磐井の乱,古墳
6世紀に百済の聖明王から伝わった宗教は？,仏教,古墳
推古天皇の摂政となり、天皇中心の国づくりを目指した人物は？,聖徳太子,飛鳥
603年、才能や功績に応じて役人の位を与えた制度は？,冠位十二階,飛鳥
604年、役人の心得を説いた法典は？,憲法十七条,飛鳥
聖徳太子が建立した、世界最古の木造建築を持つ寺院は？,法隆寺,飛鳥
645年、中大兄皇子らが蘇我氏を倒して始めた改革は？,大化の改新,飛鳥
大化の改新を主導した、後の中大兄皇子の協力者は？,中臣鎌足,飛鳥
すべての土地と人民を天皇（国家）のものとする方針は？,公地公民,飛鳥
663年、唐・新羅の連合軍に日本が敗れた戦いは？,白村江の戦い,飛鳥
672年、天智天皇の死後に起こった皇位継承争いは？,壬申の乱,飛鳥
壬申の乱に勝利し、即位した天皇は？,天武天皇,飛鳥
日本で最初の本格的な都城（都）はどこ？,藤原京,飛鳥
701年、唐の法律を参考に制定された法典は？,大宝律令,飛鳥
律令に基づき、行政を司る中央官庁の最高機関は？,太政官,飛鳥
710年、元明天皇の時に遷された、唐の長安を模した都は？,平城京,奈良
6歳以上の男女に土地を与え、死後に返させる制度は？,班田収授法,奈良
班田収授法で農民に与えられた土地を何という？,口分田,奈良
農民に課せられた、収穫高の約3%を納める税は？,租,奈良
各地の特産物を納める税を何という？,調,奈良
都での労役の代わりに布を納める税を何という？,庸,奈良
九州の防衛のために配属された兵士を何という？,防人,奈良
723年、三世代に限り土地の私有を認めた法は？,三世一身の法,奈良
743年、土地の永代私有を認めた法は？,墾田永年私財法,奈良
墾田永年私財法により、貴族や寺社が広げた私有地は？,荘園,奈良
奈良時代、困窮する農民のために架橋や布教を行った僧は？,行基,奈良
唐から来日し、日本に正しい戒律を伝えた僧は？,鑑真,奈良
